,objectId,jd,fid,pid,diffmaglim,programid,candid,isdiffpos,tblid,nid,rcid,field,xpos,ypos,ra,decl,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,ssdistnr,ssmagnr,ssnamenr,sumrat,magapbig,sigmagapbig,ranr,decnr,sgmag1,srmag1,simag1,szmag1,sgscore1,distpsnr1,ndethist,ncovhist,jdstarthist,jdendhist,scorr,tooflag,objectidps1,objectidps2,sgmag2,srmag2,simag2,szmag2,sgscore2,distpsnr2,objectidps3,sgmag3,srmag3,simag3,szmag3,sgscore3,distpsnr3,nmtchps,rfid,jdstartref,jdendref,nframesref,rbversion,dsnrms,ssnrms,dsdiff,magzpsci,magzpsciunc,magzpscirms,nmatches,clrcoeff,clrcounc,zpclrcov,zpmed,clrmed,clrrms,neargaia,neargaiabright,maggaia,maggaiabright,exptime,drb,drbversion,obsdate,mjd,magcorrZTF,magOO,phaseangle,heliodist,geodist,velocity,magcorrOO
12247,ZTF18abdglsn,2458298.9199537,2,544419951015,19.15,1,544419951015015000,t,0,544,10,544,2412.4,281.395,318.2274700000001,8.825303100000003,19.0168,0.202319,1.13887,18.6819,0.1782,4.32011,23.07,0.32,0.514,-0.161,-1.3987100000000001,-0.334854,5.47,0.8909999999999999,281.395,0.46808999999999995,0.6484310000000001,1.453,1.335,0.265631,0.24405900000000003,1.08839,1,0,0.323333,1.0,19.3,25911,1.0,18.5962,0.2113,318.2282881,8.8262128,-999.0,21.8436,21.0293,20.7513,0.029291700000000004,7.921710000000001,1,1,2458298.9199537,2458298.9199537,8.24736785888672,0,118583182267198356,118583182289857675,-999.0,-999.0,21.775,-999.0,0.226884,11.251,118593182236970027,-999.0,22.0876,21.607,20.8541,0.765417,13.6879,10,544120210,2458247.97353,2458292.961366,15,,,,,,,,,,,,,,,,,,,,,,2018-06-29T10:04:44.000,58298.419525459416,-0.2832000000000008,19.04534121143268,8.193480496236315,5.436779032069085,4.723167616865655,0.07665858448045795,-0.028541211432681735
20013,ZTF18abeiajp,2458304.9553009,1,550455301215,20.4362,1,550455301215015009,t,9,550,12,544,476.94699999999995,2827.49,317.7756853,8.9457215,19.3552,0.110574,2.1914,19.2342,0.1315,6.52738,22.877,0.35600000000000004,1.05,0.091,0.107629,-0.121031,2.26,0.981,253.005,1.20199,1.0963,0.7240000000000001,0.715,0.32035399999999997,0.316372,1.0125899999999999,4,0,0.55,0.0,19.3,25911,0.967672,19.1668,0.158,317.77527260000005,8.9439301,-999.0,21.8838,21.4997,-999.0,0.174,7.26452,1,6,2458304.9553009,2458304.9553009,18.3147373199463,0,118733177777134916,118733177736939259,21.6287,20.4048,19.133,18.5149,1.0,13.6837,118733177727368502,-999.0,-999.0,21.2219,20.8577,0.158935,14.09,10,544120112,2458230.002419,2458283.939155,15,,,,,,,,,,,,,,,,,,,,,,2018-07-05T10:55:37.998,58304.45487265894,0.05519999999999925,19.52084143825693,7.548509195717448,5.435977778251669,4.66516202232633,0.08704372298805232,-0.16564143825693023
24073,ZTF18abflhyx,2458307.9435880003,1,553443581215,20.7746,1,553443581215015028,t,28,553,12,544,1365.69,2783.55,317.5227463,8.9824319,19.5007,0.11229000000000001,3.99626,19.557000000000002,0.1347,6.3935,23.065,0.33299999999999996,0.6729999999999999,-0.374,0.025327000000000002,0.056288,2.11,0.983,296.949,1.21763,1.1424,0.685,0.659,0.32464499999999996,0.312322,1.03945,2,0,0.583333,0.0,19.2,25911,1.0,19.6336,0.1842,317.5242888,8.983385,22.5645,21.3801,20.8864,20.6165,0.988542,11.6383,1,7,2458307.9435880003,2458307.9435880003,20.4845581054688,0,118773175245886090,118783175242714440,-999.0,-999.0,20.229,-999.0,0.5,15.9589,118783175275851361,20.6694,19.335,18.2248,17.7134,1.0,18.1168,9,544120112,2458230.002419,2458283.939155,15,,,,,,,,,,,,,,,,,,,,,,2018-07-08T10:38:46.003,58307.443159759525,0.3006999999999991,19.493768951073246,7.2152530368233965,5.435575829663411,4.639129869390383,0.09231706374143074,0.006931048926752226
24810,ZTF18abfxhdm,2458310.8581481003,1,556358141215,20.7839,1,556358141215015015,t,15,556,12,544,2282.56,2790.16,317.2590173,9.0032421,19.6654,0.142421,1.57879,19.6182,0.1335,4.11734,22.859,0.28800000000000003,0.758,-0.02,-0.0845099,-0.047207,3.86,0.9540000000000001,290.337,1.16571,0.672829,0.95,0.8420000000000001,0.246114,0.218135,1.12827,3,0,0.416667,0.0,19.2,25911,0.986175,19.6765,0.1791,317.2578576,9.0030719,19.6228,18.5835,18.1497,17.9402,0.9970829999999999,6.25378,1,8,2458310.8581481003,2458310.8581481003,16.997091293335,0,118803172606994972,118803172589177244,19.8889,19.4486,19.2265,19.1399,1.0,8.590589999999999,118793172623008166,-999.0,-999.0,21.3452,20.7612,0.950417,22.0391,10,544120112,2458230.002419,2458283.939155,15,,,,,,,,,,,,,,,,,,,,,,2018-07-11T08:35:43.996,58310.35771985957,0.4654000000000025,19.46755397006927,6.885368100604541,5.4351804719628,4.615574916554899,0.09732041428326278,0.19784602993073008
26750,ZTF18abgseui,2458313.8713542004,1,559371351315,20.7976,1,559371351315015098,t,98,559,13,544,224.06900000000002,2639.7,316.9696924,9.0088015,19.4451,0.0911571,2.05015,19.423,0.1188,5.36335,22.468000000000004,0.221,0.8270000000000001,0.022000000000000002,0.459589,-0.022132,2.04,0.975,224.06900000000002,1.37457,1.16478,0.636,0.627,0.311765,0.30735300000000004,1.01435,4,0,0.63,0.0,19.2,25911,0.9968530000000001,19.4456,0.1543,316.9681651,9.0087371,-999.0,21.6935,21.3881,21.011999999999997,0.403012,6.17825,1,15,2458313.8713542004,2458313.8713542004,21.979190826416,0,118813169679420919,118813169697494895,22.1526,21.055,20.3602,20.0272,0.955729,11.5409,118813169747033467,22.3234,21.4115,20.6151,20.1398,0.9714520000000001,19.3829,14,544120113,2458230.002419,2458282.901539,15,,,,,,,,,,,,,,,,,,,,,,2018-07-14T08:54:45.003,58313.37092595968,0.24510000000000076,19.440810196329135,6.542854979099666,5.434768285016655,4.593216486758174,0.10235434471887009,0.004289803670864956
26897,ZTF18abgswaj,2458313.8962962995,2,559396291315,20.6052,1,559396291315015056,t,56,559,13,544,238.889,2642.66,316.96715930000005,9.0087656,18.8767,0.09212630000000001,3.92699,18.9692,0.0969,3.20728,22.083000000000002,0.135,0.48700000000000004,-0.17800000000000002,0.15696,0.092468,1.63,0.983,238.889,1.63598,1.40631,0.598,0.573,0.366871,0.351534,1.0436299999999998,2,0,0.656667,0.0,19.2,25911,1.0,19.012,0.1281,316.9680668000001,9.008737599999998,-999.0,21.6935,21.3881,21.011999999999997,0.403012,2.83126,1,16,2458313.8962962995,2458313.8962962995,27.013301849365202,0,118813169679420919,118813169697494895,22.1526,21.055,20.3602,20.0272,0.955729,14.907,118803169670135366,16.7882,15.8544,15.501,15.3153,0.983167,16.9976,11,544120213,2458244.981713,2458289.958056,15,,,,,,,,,,,,,,,,,,,,,,2018-07-14T09:30:40.000,58313.39586805879,-0.3232999999999997,18.910357080228618,6.539987417589332,5.434764858486393,4.593039876388785,0.10241538958388152,-0.03365708022861824
28945,ZTF18abhoshn,2458316.8530671,2,562353061315,20.4422,1,562353061315015013,t,13,562,13,544,1281.62,2725.12,316.6686456000001,8.9981759,18.8932,0.0948203,2.82195,19.0078,0.1033,8.04368,22.302,0.265,1.285,-0.203,-0.168594,0.114579,2.04,0.982,355.38300000000004,1.4343700000000001,1.2683200000000001,0.71,0.682,0.348039,0.334314,1.04106,5,0,0.686667,0.0,19.2,25911,0.9895860000000001,19.055,0.13699999999999998,316.6668526,8.9995827,22.3057,21.7683,21.6148,20.9517,0.875958,7.8597399999999995,1,17,2458316.8530671,2458316.8530671,27.677759170532198,0,118803166669440017,118793166685745387,-999.0,-999.0,21.736,20.8659,0.779667,8.679310000000001,118793166654075168,-999.0,21.5828,20.6392,20.1557,0.0,14.9026,11,544120213,2458244.981713,2458289.958056,15,,,,,,,,,,,,,,,,,,,,,,2018-07-17T08:28:24.997,58316.352638859316,-0.3067999999999991,18.88471244677122,6.207389917220777,5.434356960691198,4.573171115736726,0.10691408875613452,0.008487553228778921
31053,ZTF18abijkdz,2458319.8469213,2,565346921315,20.4949,1,565346921315015014,t,14,565,13,544,2381.7,2713.3,316.3534248,8.9712723,18.9633,0.08579550000000001,2.30195,19.0483,0.1019,8.11091,20.105999999999998,0.039,0.877,-0.01,0.470077,0.085031,2.33,0.9740000000000001,367.19599999999997,1.44658,1.10731,0.7709999999999999,0.743,0.330901,0.318884,1.03769,5,0,0.716667,0.0,19.1,25911,0.9732430000000001,19.213,0.1509,316.353468,8.968993,21.0938,20.1831,19.7589,19.566,0.9970829999999999,8.29031,1,39,2458319.8469213,2458319.8469213,26.4709529876709,0,118763163534813242,118763163549993166,19.7642,19.4366,19.3013,19.222,0.988851,10.2224,118763163494436649,-999.0,-999.0,21.2224,20.4777,0.961042,14.3085,12,544120213,2458244.981713,2458289.958056,15,t8_f5_c3,22.4239,34.8926,-12.4686,26.1343,1.4938999999999998e-06,0.022401,2048.0,0.075791,3.8413e-06,-2.28e-06,26.178,0.54,0.19200899999999999,8.29247,43.5583,20.2056,13.5199,,,,2018-07-20T08:19:34.000,58319.346493058845,-0.13670000000000115,18.859630343335755,5.879597136145037,5.433940518474081,4.555191322252151,0.1111558621005894,0.10366965666424477
31071,ZTF18abijkdz,2458319.8455093,2,565345500015,20.4544,1,565345500015015013,t,13,565,0,543,712.2760000000001,2693.29,316.3535617,8.9713038,18.9626,0.0900719,1.97344,18.8486,0.0877,8.22,20.09,0.035,0.7040000000000001,-0.025,-0.282052,-0.113962,2.15,0.9790000000000001,387.207,1.6058299999999999,1.21135,0.816,0.7709999999999999,0.379535,0.358605,1.05837,4,0,0.74,0.0,19.1,25911,0.9896659999999999,18.8485,0.1116,316.3535082,8.968993300000003,21.0938,20.1831,19.7589,19.566,0.9970829999999999,8.40633,2,40,2458319.8455093,2458319.8469213,20.5706176757812,0,118763163534813242,118763163549993166,19.7642,19.4366,19.3013,19.222,0.988851,10.0627,118763163494436649,-999.0,-999.0,21.2224,20.4777,0.961042,14.7768,12,543120200,2458244.98125,2458281.9411110003,16,t8_f5_c3,22.3851,33.1322,-10.7471,26.0916,1.0184999999999999e-06,0.020649,2085.0,0.075088,2.8995e-06,-1.63e-06,26.133000000000003,0.5,0.19103699999999998,8.408610000000001,43.0588,20.2056,13.5199,,,,2018-07-20T08:17:32.004,58319.34508105928,-0.13740000000000308,18.85964201966387,5.879750323677756,5.433940715694238,4.555199338053332,0.11114934465548246,0.10295798033612868
31461,ZTF18abikego,2458319.8779282,1,565377921315,20.5055,1,565377921315015005,t,5,565,13,544,2403.68,2713.85,316.350027,8.970953699999997,19.3288,0.111074,1.78845,19.4232,0.1143,14.0332,21.109,0.059000000000000004,0.622,-0.08800000000000001,-0.0430983,0.094358,3.54,0.972,366.648,1.08233,0.910236,0.9790000000000001,0.9420000000000001,0.276554,0.266102,1.03928,2,0,0.56,0.0,19.1,25911,0.997765,19.3599,0.1373,316.3534675,8.968954199999997,-999.0,-999.0,21.2224,20.4777,0.961042,3.7169,1,41,2458319.8779282,2458319.8779282,20.6141796112061,0,118763163494436649,118763163505491668,-999.0,-999.0,21.7694,21.006999999999998,0.880083,12.1921,118763163534813242,21.0938,20.1831,19.7589,19.566,0.9970829999999999,14.2055,12,544120113,2458230.002419,2458282.901539,15,t8_f5_c3,12.0118,24.4129,-12.4011,26.2188,2.3824000000000003e-06,0.023153,2045.0,-0.041094,6.0948000000000005e-06,-3.62e-06,26.197,0.539,0.194625,14.2048,55.5534,20.2056,13.5199,,,,2018-07-20T09:04:12.996,58319.37749995943,0.22879999999999967,19.389606165475882,5.876232516132972,5.433936187412035,4.555016121646569,0.1112434212716553,-0.06080616547588136
31561,ZTF18abikego,2458319.8788426,1,565378840015,20.6744,1,565378840015015007,t,7,565,0,543,735.328,2694.87,316.3499275,8.970928,19.3639,0.11788699999999999,1.9397099999999998,19.2148,0.0938,11.145,22.643,0.275,0.85,-0.46299999999999997,0.179828,-0.149092,3.21,0.948,385.62800000000004,1.45961,0.868974,0.9590000000000001,0.868,0.298754,0.270405,1.10484,1,0,0.593333,0.0,19.1,25911,1.0,19.2785,0.1261,316.346756,8.970986300000002,-999.0,-999.0,21.2224,20.4777,0.961042,3.6102,2,42,2458319.8779282,2458319.8788426,21.5125045776367,0,118763163494436649,118763163505491668,-999.0,-999.0,21.7694,21.006999999999998,0.880083,12.1558,118763163461915326,21.5201,21.3399,22.1175,-999.0,0.5,13.9666,12,543120100,2458228.983241,2458281.919109,16,t8_f5_c3,14.9979,27.0999,-12.102,26.1649,1.7025e-06,0.020359,2076.0,-0.030017000000000002,4.77e-06,-2.69e-06,26.151,0.501,0.195874,14.4664,55.919,20.2056,13.5199,,,,2018-07-20T09:05:32.001,58319.378414359424,0.2638999999999996,19.389598623397106,5.876133281037641,5.433936059682514,4.555010978935146,0.11124438063952692,-0.025698623397104825
