,objectId,jd,fid,pid,diffmaglim,programid,candid,isdiffpos,tblid,nid,rcid,field,xpos,ypos,ra,decl,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,ssdistnr,ssmagnr,ssnamenr,sumrat,magapbig,sigmagapbig,ranr,decnr,sgmag1,srmag1,simag1,szmag1,sgscore1,distpsnr1,ndethist,ncovhist,jdstarthist,jdendhist,scorr,tooflag,objectidps1,objectidps2,sgmag2,srmag2,simag2,szmag2,sgscore2,distpsnr2,objectidps3,sgmag3,srmag3,simag3,szmag3,sgscore3,distpsnr3,nmtchps,rfid,jdstartref,jdendref,nframesref,rbversion,dsnrms,ssnrms,dsdiff,magzpsci,magzpsciunc,magzpscirms,nmatches,clrcoeff,clrcounc,zpclrcov,zpmed,clrmed,clrrms,neargaia,neargaiabright,maggaia,maggaiabright,exptime,drb,drbversion,obsdate,mjd,magcorrZTF,magOO,phaseangle,heliodist,geodist,velocity,magcorrOO
1748331,ZTF18adalcfb,2458477.0116319,2,722511631815,19.5857,1,722511631815015001,t,1,722,18,370,679.643,765.578,184.2855267,-11.0054862,17.4358,0.050457999999999996,12.7262,17.3816,0.0505,4.16892,18.762,0.115,3.946,0.251,-0.366211,-0.054202999999999994,2.27,0.9840000000000001,679.643,2.20408,1.17058,0.8059999999999999,0.755,0.355066,0.332599,1.06755,0,0,0.82,0.0,17.6,1873,1.0,17.3243,0.0606,184.2866698,-11.0051397,18.4159,17.7371,17.459,17.0943,0.054696400000000006,4.88847,1,1,2458477.0116319,2458477.0116319,51.048469543457,0,94791842864025097,94791842813352517,22.0397,-999.0,21.478,20.9629,0.512292,15.2864,94781842873867581,21.9127,21.5577,21.2632,20.8999,0.587649,19.6143,4,370120218,2458165.893461,2458449.018009,21,t8_f5_c3,33.0572,62.0491,-28.9919,26.2158,8.5951e-06,0.047157,578.0,0.11767000000000001,1.38201e-05,-9.97e-06,26.29,0.627,0.31913600000000003,4.8968,-999.0,18.8672,-999.0,30.0,,,2018-12-24T12:16:44.996,58476.51120365924,-0.164200000000001,17.41417246518778,11.820902684992733,4.772224619884485,4.778949596927369,0.1105097478409482,0.021627534812221683
1938696,ZTF18adbywgt,2458482.9748843,2,728474881915,19.6693,1,728474881915015020,t,20,728,19,370,1704.86,1551.82,184.87203280000003,-11.2144445,17.3511,0.047587800000000006,4.536569999999999,17.4206,0.0418,10.0021,22.108,0.237,0.691,-0.285,-0.213443,0.069498,2.51,0.983,1367.64,2.24868,1.19897,0.889,0.8420000000000001,0.35418299999999997,0.335458,1.05582,0,0,0.87,0.0,17.6,1873,1.0,17.4411,0.054000000000000006,184.8730219,-11.2118032,21.4987,20.8546,20.721,20.3957,0.0,21.116,1,2,2458482.9748843,2458482.9748843,51.113494873046896,0,94531848710496235,94531848713115923,21.6753,-999.0,-999.0,20.4062,0.5,21.4293,94541848678438621,21.0908,-999.0,21.8212,20.8893,0.00375,21.7485,3,370120219,2458165.893461,2458449.018009,20,t8_f5_c3,36.7005,72.0798,-35.3793,26.1591,9.1128e-06,0.046021,581.0,0.11393099999999999,1.60477e-05,-1.104e-05,26.228,0.597,0.30815,44.5141,-999.0,16.8902,-999.0,30.0,,,2018-12-30T11:23:50.004,58482.47445605929,-0.24890000000000256,17.37252456222193,11.893638221223789,4.770778427128832,4.683932214333706,0.09306950827342818,-0.0214245622219309
2110820,ZTF19aaapbpx,2458487.9832176003,1,733483211915,20.3797,1,733483211915015017,t,17,733,19,370,274.764,2081.38,185.2866873,-11.3545187,17.874000000000002,0.0596013,8.778039999999999,17.8995,0.0377,11.9882,22.401,0.32299999999999995,0.619,-0.502,1.1056700000000002,0.025455000000000002,2.49,0.9840000000000001,274.764,2.4802299999999997,1.1391799999999999,0.852,0.787,0.342169,0.316064,1.08259,0,0,0.85,0.0,17.5,1873,1.0,17.8673,0.0459,185.2850962,-11.3515296,21.0824,19.9454,19.0774,18.664,1.0,17.1277,1,5,2458487.9832176003,2458487.9832176003,56.0291633605957,0,94371852818675094,94361852840767547,22.0874,21.6756,21.408,21.1879,0.0,23.9168,94361852851465476,19.6261,18.7935,18.468,18.3064,0.9965,29.0932,3,370120119,2458203.804201,2458483.024155,15,t8_f5_c3,36.4511,83.8427,-47.3915,26.188000000000002,9.8369e-06,0.039736,577.0,-0.082471,1.75248e-05,-1.199e-05,26.14,0.597,0.305543,17.1267,67.2903,19.6092,13.7258,30.0,,,2019-01-04T11:35:50.001,58487.48278935952,0.37400000000000233,17.895134836973128,11.872504524746141,4.7695946193614835,4.603926548036252,0.07710741305459208,-0.02113483697312546
2112137,ZTF19aaaphtn,2458487.9999884,1,733499983015,20.4838,1,733499983015015046,t,46,733,30,371,2028.62,2060.35,185.287909,-11.3549388,17.8476,0.059397900000000003,13.6366,17.8607,0.036000000000000004,13.104000000000001,22.072,0.264,0.6940000000000001,-0.31,0.15945,0.013111000000000001,2.15,0.996,1020.15,2.6230599999999997,1.21135,0.7859999999999999,0.748,0.365581,0.347907,1.0508,0,0,0.833333,0.0,17.5,1873,1.0,17.8424,0.0444,185.2915937,-11.3542138,21.0824,19.9454,19.0774,18.664,1.0,21.5037,1,6,2458487.9999884,2458487.9999884,56.2344856262207,0,94371852818675094,94361852840767547,22.0874,21.6756,21.408,21.1879,0.0,24.5685,94361852851465476,19.6261,18.7935,18.468,18.3064,0.9965,28.7736,3,371120130,2458203.804664,2458472.981852,15,t8_f5_c3,40.657,84.9016,-44.2446,26.1746,8.290199999999999e-06,0.032820999999999996,557.0,-0.05354299999999999,1.4418199999999999e-05,-9.95e-06,26.141,0.589,0.314398,21.5024,69.904,19.6092,13.7258,30.0,,,2019-01-04T11:59:58.998,58487.49956015918,0.3475999999999999,17.89499754786588,11.872264245988113,4.769590702645854,4.603657597873005,0.07692989144671088,-0.047397547865880796
2114197,ZTF19aaappnj,2458488.0255787005,2,733525571915,20.3853,1,733525571915015023,t,23,733,19,370,269.78700000000003,2093.47,185.2897555,-11.3555719,17.2845,0.0411276,37.7489,17.293,0.0252,16.5409,21.819000000000003,0.21600000000000003,0.9620000000000001,-0.307,0.5484140000000001,0.008549,1.99,0.9990000000000001,269.78700000000003,3.09227,1.24505,0.7,0.672,0.351759,0.337688,1.04167,3,0,0.9033329999999999,0.0,17.5,1873,0.997769,17.2691,0.0306,185.2919161,-11.3597113,22.0874,21.6756,21.408,21.1879,0.0,27.0346,1,7,2458488.0255787005,2458488.0255787005,75.2071914672852,0,94361852840767547,94371852818675094,21.0824,19.9454,19.0774,18.664,1.0,28.2333,94361852851465476,19.6261,18.7935,18.468,18.3064,0.9965,29.6574,3,370120219,2458165.893461,2458449.018009,20,t8_f5_c3,79.7268,147.025,-67.2983,26.1935,5.645399999999999e-06,0.039867,579.0,0.10495,9.9376e-06,-6.84e-06,26.256999999999998,0.599,0.307872,28.2318,74.2179,19.6092,13.7258,30.0,,,2019-01-04T12:36:50.000,58487.525150459725,-0.2154999999999987,17.333467343886564,11.87189243571925,4.769584726801682,4.6032479325365205,0.07671179957287445,-0.048967343886562986
2114572,ZTF19aaappnj,2458488.0269444,2,733526943015,20.3415,1,733526943015015035,t,35,733,30,371,2031.84,2068.24,185.2898653,-11.3556078,17.2825,0.0458976,16.7564,17.2982,0.0262,8.87902,22.083000000000002,0.331,1.099,-0.502,-0.0235073,0.015726,1.93,0.9840000000000001,1012.26,3.04334,1.26647,0.6659999999999999,0.635,0.345078,0.329016,1.04882,4,0,0.893333,0.0,17.5,1873,0.9896389999999999,17.2959,0.0326,185.2884744,-11.3535157,22.0874,21.6756,21.408,21.1879,0.0,27.2336,2,8,2458488.0255787005,2458488.0269444,66.6644821166992,0,94361852840767547,94371852818675094,21.0824,19.9454,19.0774,18.664,1.0,28.6352,94361852851465476,19.6261,18.7935,18.468,18.3064,0.9965,29.7648,3,371120230,2458217.781192,2458450.040208,23,t8_f5_c3,66.4242,131.13299999999998,-64.709,26.1925,5.459e-06,0.040628,556.0,0.107406,9.499299999999999e-06,-6.56e-06,26.256999999999998,0.595,0.313286,28.6337,74.4899,19.6092,13.7258,30.0,,,2019-01-04T12:38:47.996,58487.52651615907,-0.21750000000000114,17.333456177447733,11.87187244272841,4.7695844079044685,4.603226094725386,0.07670201460890805,-0.05095617744773406
2224713,ZTF19aabyxdh,2458492.0002199,1,737500213015,20.0303,1,737500213015015038,t,38,737,30,371,1075.89,2320.46,185.565225,-11.4416258,17.8057,0.0579418,4.59084,17.8648,0.042,8.0112,22.013,0.23600000000000002,0.621,-0.138,-0.256822,0.059109,3.1,0.982,760.041,2.1655,1.07425,1.015,0.997,0.327419,0.32161300000000004,1.01805,0,0,0.87,0.0,17.5,1873,1.0,17.8923,0.0542,185.5640859,-11.4435829,-999.0,21.6023,21.2405,20.8534,0.019678599999999997,9.00117,1,5,2458492.0002199,2458492.0002199,49.2471771240234,0,94271855674442182,94261855638737615,20.4028,21.6645,21.3547,20.552,0.5,9.50254,94261855636857881,-999.0,21.4926,21.3658,20.9549,0.0132917,9.625110000000001,7,371120130,2458203.804664,2458472.981852,15,t8_f5_c3,26.6157,64.1887,-37.573,26.1077,1.64289e-05,0.040224,533.0,-0.031459,3.06569e-05,-2.039e-05,26.092,0.563,0.30555,16.2404,-999.0,20.0753,-999.0,30.0,,,2019-01-08T12:00:18.999,58491.499791658964,0.30570000000000164,17.861677715686344,11.798194345632474,4.7686655230585515,4.540013074612172,0.06374667235346748,-0.05597771568634258
2231394,ZTF19aacabkp,2458492.0793056,2,737579303015,19.1235,1,737579303015015011,t,11,737,30,371,1059.18,2342.77,185.5699767,-11.4431384,17.2895,0.05247919999999999,3.7854099999999997,17.3131,0.0428,5.42595,20.183,0.069,1.3319999999999999,-0.069,-0.119699,0.023636,5.68,0.981,737.7289999999999,1.81035,0.7724409999999999,1.42,1.325,0.25,0.233275,1.0717,0,0,0.6533329999999999,0.0,17.5,1873,1.0,17.3,0.0538,185.5698233,-11.4416198,21.5451,20.3474,19.4943,19.0835,0.994583,5.55043,1,6,2458492.0793056,2458492.0793056,39.9529304504395,0,94271855698820499,94271855674442182,-999.0,21.6023,21.2405,20.8534,0.019678599999999997,13.8567,94261855681163519,-999.0,-999.0,21.7283,21.3672,0.0,17.5018,9,371120230,2458217.781192,2458450.040208,23,t8_f5_c3,13.2047,42.3359,-29.1312,26.1655,2.31033e-05,0.055998,477.0,0.11323699999999999,3.99857e-05,-2.769e-05,26.239,0.597,0.31354699999999996,5.54509,-999.0,20.0753,-999.0,30.0,,,2019-01-08T13:54:12.004,58491.57887735918,-0.2104999999999997,17.299669701113665,11.796004237308027,4.768647413845711,4.5387589681517495,0.06337227533111763,-0.010169701113664331
2362542,ZTF19aadftsn,2458495.0005093,1,740500503015,20.4697,1,740500503015015047,t,47,740,30,371,450.069,2511.15,185.7409323,-11.4911763,17.8106,0.051186199999999994,3.77445,17.8182,0.033,6.3316,21.396,0.099,0.203,0.012,-0.08896649999999999,0.007564,2.25,0.983,450.069,2.65151,1.2377200000000002,0.8029999999999999,0.782,0.356889,0.347556,1.02685,0,0,0.781429,0.0,17.5,1873,1.0,17.7959,0.0403,185.7416035,-11.492832,21.5794,20.8832,20.6344,20.4068,0.0,6.653389999999999,1,7,2458495.0005093,2458495.0005093,48.58166885375979,0,94201857417528946,94201857443122408,21.2784,20.0878,18.9713,18.476,0.9462079999999999,28.2347,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2,371120130,2458203.804664,2458472.981852,15,t15_f5_c3,61.3239,104.572,-43.2476,26.1696,1.07536e-05,0.037447,557.0,-0.061002999999999995,1.88402e-05,-1.295e-05,26.134,0.588,0.31408,28.2377,-999.0,19.5403,-999.0,30.0,,,2019-01-11T12:00:44.004,58494.500081059065,0.3106000000000009,17.835329660480017,11.708200641737097,4.767983458459716,4.492618394736518,0.05364627087160032,-0.024729660480016236
2396651,ZTF19aadnunb,2458502.9546991,1,748454693115,19.2254,1,748454693115015029,t,29,748,31,371,2379.78,2735.65,186.0692329,-11.5545272,17.7507,0.0690319,2.72353,17.7224,0.0815,6.66857,21.926,0.305,1.264,-0.273,-1.15265,-0.028306,2.75,0.9840000000000001,344.848,1.5029700000000001,1.09509,0.9,0.878,0.327273,0.31927300000000003,1.02506,1,0,0.6742859999999999,0.0,17.4,1873,1.0,17.7505,0.107,186.0684657,-11.5562459,21.7486,21.3388,21.2972,21.0956,0.967625,9.55052,1,8,2458502.9546991,2458502.9546991,30.2361679077148,0,94131860694328184,94131860660501856,-999.0,21.6614,20.9151,20.5148,0.322991,14.5186,94131860737489012,18.8275,18.5483,18.4459,18.4724,0.99125,19.8591,6,371120131,2458203.804664,2458472.981852,15,t15_f5_c3,16.1618,33.1211,-16.9592,26.0937,2.5243000000000002e-05,0.041705,416.0,-0.03568,6.49358e-05,-3.715e-05,26.073,0.488,0.247973,19.8593,-999.0,18.4957,-999.0,30.0,,,2019-01-19T10:54:46.002,58502.454270859256,0.3506999999999998,17.760095136302233,11.322007986204065,4.766224520842097,4.369377154663373,0.0269694986937939,-0.009395136302234874
