,objectId,jd,fid,pid,diffmaglim,programid,candid,isdiffpos,tblid,nid,rcid,field,xpos,ypos,ra,decl,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,ssdistnr,ssmagnr,ssnamenr,sumrat,magapbig,sigmagapbig,ranr,decnr,sgmag1,srmag1,simag1,szmag1,sgscore1,distpsnr1,ndethist,ncovhist,jdstarthist,jdendhist,scorr,tooflag,objectidps1,objectidps2,sgmag2,srmag2,simag2,szmag2,sgscore2,distpsnr2,objectidps3,sgmag3,srmag3,simag3,szmag3,sgscore3,distpsnr3,nmtchps,rfid,jdstartref,jdendref,nframesref,rbversion,dsnrms,ssnrms,dsdiff,magzpsci,magzpsciunc,magzpscirms,nmatches,clrcoeff,clrcounc,zpclrcov,zpmed,clrmed,clrrms,neargaia,neargaiabright,maggaia,maggaiabright,exptime,drb,drbversion,obsdate,mjd,magcorrZTF,magOO,phaseangle,heliodist,geodist,velocity,magcorrOO
348,ZTF18abcdxnv,2458288.6960532,1,534196051215,20.3522,1,534196051215015002,t,2,534,12,624,1075.47,990.815,178.5923322,23.8879221,19.3491,0.11002200000000001,3.19634,19.094,0.1355,3.8476800000000004,23.47,0.22899999999999998,0.805,-0.019,-0.318419,-0.255102,2.16,0.982,990.815,1.25824,1.05484,0.7659999999999999,0.7490000000000001,0.35463,0.34675900000000004,1.0227,3,0,0.56,0.0,18.9,17172,1.0,19.1557,0.1834,178.5918562,23.8869316,-999.0,21.8515,21.4101,-999.0,0.0169167,25.3614,1,162,2458288.6960532,2458288.6960532,17.5450115203857,0,136661785848167352,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,624120112,2458170.920556,2458254.808287,40,,,,,,,,,,,,,,,,,,,,,,2018-06-19T04:42:18.996,58288.1956249592,0.4491000000000014,19.371228211354577,10.515580922374701,5.507249634680892,5.563943378100776,0.09701809696914249,-0.022128211354576877
702,ZTF18abceicl,2458288.7498958,2,534249891215,20.0353,1,534249891215015007,t,7,534,12,624,1066.32,971.66,178.5963385,23.8841176,18.74,0.08247510000000001,3.3872400000000003,18.7542,0.127,7.75892,22.469,0.209,1.403,-0.187,0.379492,0.014165,2.35,1.0,971.66,1.28114,1.01,0.7,0.66,0.29787199999999997,0.280851,1.06061,2,0,0.71,0.0,18.9,17172,0.99749,18.6724,0.1508,178.59867169999995,23.8845772,-999.0,21.6541,20.8754,20.5157,0.29172600000000004,20.4002,1,163,2458288.7498958,2458288.7498958,22.167913436889602,0,136651786008486912,136651785971052607,21.5511,21.1041,20.3287,20.2383,0.0578929,27.1849,136651785974692043,21.6641,20.7076,-999.0,20.0947,0.5,28.3512,3,624120212,2458155.85941,2458186.874769,23,,,,,,,,,,,,,,,,,,,,,,2018-06-19T05:59:50.997,58288.2494675587,-0.16000000000000014,18.773191167176478,10.514498948356838,5.507244754038547,5.564721207279491,0.09770462850364203,-0.0331911671764793
8962,ZTF18abcxyjx,2458294.6767361,1,540176730915,19.659000000000002,1,540176730915015004,t,4,540,9,624,3014.06,2408.2,179.0886383,23.4654499,19.2492,0.137077,1.65903,19.2763,0.2689,7.628610000000001,23.636999999999997,0.217,0.544,-0.153,1.4342,0.027052999999999997,1.92,0.987,58.4431,0.382691,1.32322,0.7040000000000001,0.693,0.366667,0.36093800000000004,1.01587,5,0,0.45,0.0,18.9,17172,0.8588459999999999,19.0407,0.2781,179.0904679,23.4641145,21.7077,21.3894,21.1543,21.0647,0.8975059999999999,18.6491,1,166,2458294.6767361,2458294.6767361,12.711362838745101,0,136151790928644932,136151790950648847,21.0392,20.2116,19.5492,19.4231,0.0965595,21.2619,136161790832152922,22.0424,21.8863,21.4564,21.3911,0.0179167,21.3897,5,624120109,2458230.817049,2458254.808287,40,,,,,,,,,,,,,,,,,,,,,,2018-06-25T04:14:29.999,58294.17630785937,0.34919999999999973,19.39772949269078,10.353854031349645,5.506697719377591,5.6486124244932405,0.10954677850494851,-0.14852949269078053
9056,ZTF18abcyhgj,2458294.7334144,2,540233410915,19.8201,1,540233410915015018,t,18,540,9,624,2998.04,2387.22,179.0937621,23.4613206,18.7529,0.0929914,1.51102,18.6046,0.1404,4.05046,21.48,0.076,0.903,-0.051,1.15893,-0.148312,1.59,0.983,74.458,1.21551,1.4277600000000001,0.631,0.605,0.396855,0.38050300000000004,1.04298,3,0,0.676667,0.0,18.9,17172,0.9503299999999999,18.567,0.1738,179.0928436,23.4620822,21.7077,21.3894,21.1543,21.0647,0.8975059999999999,3.87415,1,167,2458294.7334144,2458294.7334144,18.0948219299316,0,136151790928644932,136151790950648847,21.0392,20.2116,19.5492,19.4231,0.0965595,14.8685,136141790912306832,-999.0,22.0983,21.8993,21.3186,0.320488,23.2647,8,624120209,2458155.85941,2458186.874769,22,,,,,,,,,,,,,,,,,,,,,,2018-06-25T05:36:07.004,58294.23298615917,-0.14709999999999823,18.799670048558895,10.35205195425126,5.5066923945156425,5.649415471634983,0.11026536489810748,-0.04677004855889422
11333,ZTF18abdfdki,2458297.7535995,2,543253591015,19.1654,1,543253591015015000,t,0,543,10,624,2079.7,135.00799999999998,179.37672990000004,23.238678,18.8935,0.13622,0.791435,18.5381,0.2208,12.6982,22.258000000000003,0.146,0.772,-0.040999999999999995,-1.77977,-0.35543800000000003,2.29,0.9990000000000001,135.00799999999998,0.627308,1.07636,0.779,0.6829999999999999,0.340175,0.29825300000000005,1.14056,7,0,0.446667,0.0,18.9,17172,0.9726229999999999,18.1835,0.2047,179.3750176,23.2418845,-999.0,22.0319,21.8775,21.4333,0.0,13.1968,1,160,2458297.7535995,2458297.7535995,10.5956497192383,0,135891793748600876,135881793745362720,21.1996,20.7573,20.2752,20.2098,0.00166667,14.6696,135881793708877120,21.997,20.6039,19.8258,19.6079,0.00125,19.463,4,624120210,2458155.85941,2458186.874769,18,,,,,,,,,,,,,,,,,,,,,,2018-06-28T06:05:10.997,58297.25317125907,-0.006499999999999062,18.811582841071495,10.244062410476031,5.506406089426252,5.691465881955136,0.11667083589215844,0.08191715892850482
17064,ZTF18abediwj,2458304.6801505,2,550180151115,20.2287,1,550180151115015024,t,24,550,11,624,2791.25,2002.66,180.10213259999998,22.7084135,18.8515,0.10030700000000001,4.23762,18.7548,0.1123,8.63516,22.733,0.317,1.251,-0.564,0.27017199999999997,-0.096657,1.89,0.9890000000000001,281.252,1.47386,1.19523,0.653,0.602,0.345503,0.318519,1.0847200000000001,2,0,0.6533329999999999,0.0,19.0,17172,0.990711,18.6124,0.126,180.10329319999997,22.7062315,-999.0,21.8388,22.237,21.0326,0.00583333,13.459000000000001,1,176,2458304.6801505,2458304.6801505,22.7308883666992,0,135241801033036364,135251800970851025,22.4529,22.124000000000002,21.7645,21.0398,0.375444,16.8201,135251800990096104,-999.0,21.3145,20.524,20.1684,0.995833,19.5796,4,624120211,2458155.85941,2458184.874329,18,,,,,,,,,,,,,,,,,,,,,,2018-07-05T04:19:25.003,58304.179722259294,-0.14849999999999852,18.83517897533278,9.934932228324442,5.505730498445052,5.7856152778241645,0.12938352780983242,0.01632102466722074
17155,ZTF18abedmjd,2458304.6956019,1,550195601115,20.4098,1,550195601115015008,t,8,550,11,624,2784.89,1994.09,180.10380700000005,22.7071916,19.4337,0.103913,1.37772,19.2744,0.1388,7.16545,23.846999999999998,0.35,0.722,-0.773,-0.130551,-0.159344,1.87,0.9790000000000001,287.615,1.13537,1.3412,0.7390000000000001,0.7070000000000001,0.395187,0.378075,1.04526,3,0,0.603333,0.0,19.0,17172,0.9998049999999999,19.3284,0.1862,180.1058161,22.7079991,-999.0,21.8388,22.237,21.0326,0.00583333,8.70079,1,177,2458304.6956019,2458304.6956019,19.1938800811768,0,135241801033036364,135251800970851025,22.4529,22.124000000000002,21.7645,21.0398,0.375444,22.9575,135241801016970871,-999.0,-999.0,21.8836,20.9795,0.819625,25.9319,4,624120111,2458170.920556,2458254.802812,40,,,,,,,,,,,,,,,,,,,,,,2018-07-05T04:41:40.004,58304.195173658896,0.43370000000000175,19.43352553216691,9.934167813979412,5.505728961865717,5.785823908843453,0.12958042403258083,0.00017446783309083003
1194089,ZTF18acrnhsm,2458450.0475926003,2,695547594015,19.5897,2,695547594015015002,t,2,695,40,528,2138.49,2540.79,207.46558100000001,12.862072300000001,18.8569,0.110203,1.59415,18.8384,0.1691,11.4922,22.166999999999998,0.244,1.531,0.382,0.413984,-0.018472,2.96,0.981,539.7080000000001,0.751273,0.9747030000000001,0.848,0.8,0.286486,0.27026999999999995,1.06,4,0,0.683333,0.0,19.0,17172,0.99565,18.7221,0.1949,207.46237119999998,12.8628955,21.7369,20.4585,20.0036,19.782,0.051160699999999996,13.2662,1,30,2458450.0475926003,2458450.0475926003,15.928985595703098,0,123432074618464894,123432074698886028,-999.0,21.6648,20.8967,20.5562,0.0177083,15.4201,123432074613713560,-999.0,21.7843,-999.0,21.2287,0.10466700000000001,15.6387,5,528120240,2458160.964306,2458222.819329,16,t8_f5_c3,8.674710000000001,16.7544,-8.07965,26.2939,2.1107399999999997e-05,0.052872,341.0,0.11511600000000001,3.48638e-05,-2.451e-05,26.365,0.597,0.333459,62.4816,67.4085,19.898,12.5092,30.0,,,2018-11-27T13:08:32.001,58449.5471643596,-0.14310000000000045,18.849671056352896,7.7935233453058474,5.485576050746906,6.083191851145598,0.18953449321087126,0.0072289436471031365
1194167,ZTF18acrnien,2458450.0525694,2,695552564015,19.7223,2,695552564015015003,t,3,695,40,528,2138.08,2542.95,207.466454,12.862034399999999,18.8753,0.0964398,1.33504,18.7322,0.1539,12.505,21.361,0.059000000000000004,0.233,-0.040999999999999995,0.8361,-0.143082,2.29,0.981,537.547,0.9900690000000001,1.11267,0.8420000000000001,0.8059999999999999,0.367686,0.35196500000000003,1.0446600000000001,0,0,0.706667,0.0,19.0,17172,1.0,18.6926,0.1902,207.4699305,12.862983199999999,-999.0,21.6648,20.8967,20.5562,0.0177083,12.4729,1,31,2458450.0525694,2458450.0525694,17.0007495880127,0,123432074698886028,123432074618464894,21.7369,20.4585,20.0036,19.782,0.051160699999999996,16.3276,123432074618377722,21.016,20.5541,20.5334,20.5718,0.000833333,18.4725,5,528120240,2458160.964306,2458222.819329,16,t8_f5_c3,12.4113,19.4188,-7.00745,26.2973,1.44864e-05,0.0512,340.0,0.12501800000000002,2.38016e-05,-1.6800000000000002e-05,26.371,0.599,0.332428,64.7198,68.3643,19.898,12.5092,30.0,,,2018-11-27T13:15:41.996,58449.552141159314,-0.1247000000000007,18.84966920278705,7.79394203948469,5.4855751695746084,6.083137232255343,0.1894729181018016,0.025630797212947698
1194218,ZTF18acrnipk,2458450.0575463,2,695557544015,19.5499,2,695557544015015002,t,2,695,40,528,2137.26,2545.05,207.4674615,12.861988900000002,18.8699,0.11372,0.8781120000000001,18.8162,0.1854,9.26197,21.361,0.059000000000000004,0.233,-0.040999999999999995,0.152807,-0.053683,2.34,0.983,535.45,0.733681,1.14063,0.773,0.7120000000000001,0.330342,0.304274,1.0856700000000001,4,0,0.7,0.0,19.0,17172,1.0,18.5198,0.1813,207.4699305,12.862983199999999,-999.0,21.6648,20.8967,20.5562,0.0177083,9.17215,1,32,2458450.0575463,2458450.0575463,15.0436143875122,0,123432074698886028,123432074618464894,21.7369,20.4585,20.0036,19.782,0.051160699999999996,19.8628,123432074618377722,21.016,20.5541,20.5334,20.5718,0.000833333,21.7463,5,528120240,2458160.964306,2458222.819329,16,t8_f5_c3,9.966000000000001,16.5004,-6.53441,26.3019,1.65153e-05,0.05221900000000001,342.0,0.12365799999999999,2.72825e-05,-1.919e-05,26.381999999999998,0.595,0.332789,67.38,69.625,19.898,12.5092,30.0,,,2018-11-27T13:22:52.000,58449.55711805914,-0.13009999999999877,18.849667344883603,7.794360542650771,5.485574288371792,6.083082626202832,0.18941242968519592,0.02023265511639849
