,objectId,jd,fid,pid,diffmaglim,programid,candid,isdiffpos,tblid,nid,rcid,field,xpos,ypos,ra,decl,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,ssdistnr,ssmagnr,ssnamenr,sumrat,magapbig,sigmagapbig,ranr,decnr,sgmag1,srmag1,simag1,szmag1,sgscore1,distpsnr1,ndethist,ncovhist,jdstarthist,jdendhist,scorr,tooflag,objectidps1,objectidps2,sgmag2,srmag2,simag2,szmag2,sgscore2,distpsnr2,objectidps3,sgmag3,srmag3,simag3,szmag3,sgscore3,distpsnr3,nmtchps,rfid,jdstartref,jdendref,nframesref,rbversion,dsnrms,ssnrms,dsdiff,magzpsci,magzpsciunc,magzpscirms,nmatches,clrcoeff,clrcounc,zpclrcov,zpmed,clrmed,clrrms,neargaia,neargaiabright,maggaia,maggaiabright,exptime,drb,drbversion,obsdate,mjd,magcorrZTF,magOO,phaseangle,heliodist,geodist,velocity,magcorrOO
1330785,ZTF18actuopk,2458457.0627315,2,702562736315,17.3574,2,702562736315015016,t,16,702,63,374,826.448,590.635,207.74110980000003,-7.126512599999999,16.6911,0.10536300000000001,1.32487,16.7084,0.1764,10.9495,21.811999999999998,0.153,0.804,-0.142,-0.783341,0.017276,2.76,0.983,590.635,0.6489659999999999,1.0987,0.97,0.922,0.35144899999999996,0.33405799999999997,1.05206,1,0,0.7,0.0,16.8,2207,1.0,16.6816,0.2207,207.73833180000003,-7.1251342000000015,22.1009,21.9661,20.9438,20.6031,0.10575,10.5586,1,1,2458457.0627315,2458457.0627315,14.009166717529302,0,99452077384420314,99442077436023253,-999.0,22.3964,21.2219,21.0229,0.26310100000000003,18.4946,99452077376954989,21.9853,20.453,21.6087,-999.0,0.5,22.8839,5,374120263,2458217.8477080003,2458305.676794,18,t8_f5_c3,6.403,14.6425,-8.23949,24.4251,0.00058939,0.126123,194.0,0.098493,0.001456,-0.00086182,24.5025,0.513,0.233335,30.2547,-999.0,16.84,-999.0,30.0,,,2018-12-04T13:30:20.002,58456.56230325905,-0.108900000000002,16.605288066617778,7.639992832059411,5.153911674676488,5.816629549563526,0.19565864515010312,0.08581193338222093
1396526,ZTF18acueyyv,2458458.0549653,2,703554966315,19.4719,2,703554966315015004,t,4,703,63,374,160.689,780.812,207.92966919999998,-7.1817172000000005,16.5598,0.044935199999999995,14.2771,16.4808,0.0216,5.56947,19.529,0.1,5.353,0.295,-2.29196,-0.078975,6.04,0.9840000000000001,160.689,2.9911,0.508563,1.1320000000000001,1.013,0.187417,0.167715,1.11747,0,0,0.533333,0.0,16.8,2207,1.0,16.5216,0.0282,207.9281121,-7.1814561,18.3144,17.4031,17.0474,16.8751,0.972083,21.4324,1,3,2458458.0549653,2458458.0549653,74.8434295654297,0,99372079306605297,99372079350848623,-999.0,-999.0,21.1609,20.5572,0.6815,22.1557,99382079236210572,21.9745,-999.0,-999.0,20.6171,0.5,22.599,10,374120263,2458217.8477080003,2458305.676794,18,t8_f5_c3,56.493,121.78299999999999,-65.2898,26.0258,8.8758e-06,0.042903,684.0,0.091252,1.77475e-05,-1.137e-05,26.079,0.537,0.299896,34.4147,34.4147,7.3372399999999995,7.3372399999999995,30.0,,,2018-12-05T13:19:09.002,58457.55453705928,-0.24020000000000152,16.605978276679696,7.750189068206013,5.154034938534714,5.805576598581563,0.19440564522154544,-0.046178276679697206
1422562,ZTF18acusvtc,2458462.0528587997,2,707552855815,19.1953,2,707552855815015103,t,103,707,58,374,1073.95,1532.19,208.67725869999998,-7.3966490999999985,16.6162,0.029270099999999997,4.19229,16.6026,0.0323,1.42646,20.915,0.113,1.9169999999999998,0.214,0.0510281,-0.013646,2.58,0.9840000000000001,1073.95,2.59267,1.10975,0.8170000000000001,0.7809999999999999,0.31666700000000003,0.302713,1.04609,1,0,0.803333,0.0,16.8,2207,1.0,16.5778,0.04,208.6768539,-7.3966520000000004,21.3905,21.1529,20.9847,20.5233,0.000625,1.3187,1,6,2458462.0528587997,2458462.0528587997,42.660984039306605,0,99122086769714337,99132086746791564,21.4676,21.1588,21.259,20.978,0.0,23.3538,99132086748641883,21.5547,20.9203,21.1556,20.9536,0.5,23.4218,3,374120258,2458217.8477080003,2458305.676794,18,t8_f5_c3,38.7198,88.8648,-50.145,25.7672,2.49381e-05,0.061299,686.0,0.08595599999999999,4.4644799999999996e-05,-3.027e-05,25.829,0.5710000000000001,0.314398,36.7761,-999.0,18.9095,-999.0,30.0,,,2018-12-09T13:16:07.000,58461.55243055942,-0.18380000000000152,16.607149991053433,8.180583433257967,5.154531300705064,5.759455152234641,0.1887467425896023,0.009050008946566379
1423043,ZTF18acuszto,2458462.0575926,2,707557595815,19.6888,2,707557595815015103,t,103,707,58,374,1073.9,1533.99,208.6781249,-7.396892200000001,16.6516,0.0311013,5.52225,16.6545,0.0221,4.5584,20.915,0.113,1.9169999999999998,0.214,-0.172093,0.002918,2.49,0.9840000000000001,1073.9,3.03432,1.14275,0.8220000000000001,0.735,0.33011999999999997,0.29518099999999997,1.11837,0,0,0.79,0.0,16.8,2207,1.0,16.6322,0.0272,208.6768539,-7.3966520000000004,21.3905,21.1529,20.9847,20.5233,0.000625,4.4861699999999995,1,7,2458462.0575926,2458462.0575926,58.3687591552734,0,99122086769714337,99132086746791564,21.4676,21.1588,21.259,20.978,0.0,25.4702,99132086748641883,21.5547,20.9203,21.1556,20.9536,0.5,25.5198,3,374120258,2458217.8477080003,2458305.676794,18,t8_f5_c3,88.3552,158.563,-70.2074,26.1636,6.198400000000001e-06,0.037917,690.0,0.082702,1.11082e-05,-7.52e-06,26.213,0.5710000000000001,0.31484,39.6768,-999.0,18.9095,-999.0,30.0,,,2018-12-09T13:22:56.001,58461.55716435937,-0.1484000000000023,16.60714933013487,8.181073602576298,5.15453188815371,5.759398296134711,0.18869089737158562,0.044450669865128134
1423254,ZTF18acutfze,2458462.0623264,2,707562325815,19.5847,2,707562325815015105,t,105,707,58,374,1072.2,1536.39,208.6789959,-7.397142,16.6233,0.0441861,36.1578,16.6834,0.0256,7.74455,20.915,0.113,1.9169999999999998,0.214,0.42301000000000005,0.060142999999999995,2.28,1.0,1072.2,2.90131,1.20138,0.753,0.6759999999999999,0.33026300000000003,0.296491,1.11391,4,0,0.773333,0.0,16.8,2207,0.9909969999999999,16.6565,0.0315,208.6768539,-7.3966520000000004,21.3905,21.1529,20.9847,20.5233,0.000625,7.71425,1,8,2458462.0623264,2458462.0623264,62.56050109863279,0,99122086769714337,99132086746791564,21.4676,21.1588,21.259,20.978,0.0,27.8274,99132086748641883,21.5547,20.9203,21.1556,20.9536,0.5,27.8611,3,374120258,2458217.8477080003,2458305.676794,18,t8_f5_c3,47.5288,117.10799999999999,-69.579,26.1563,6.8159e-06,0.039836,689.0,0.087545,1.2197899999999999e-05,-8.27e-06,26.21,0.574,0.314258,42.6509,-999.0,18.9095,-999.0,30.0,,,2018-12-09T13:29:45.001,58461.561898159336,-0.1767000000000003,16.60714866454707,8.181563517859777,5.1545324756016635,5.759341458121461,0.18863630236322376,0.016151335452931903
1423538,ZTF18acuthsq,2458462.0670832996,2,707567085815,19.1329,2,707567085815015091,t,91,707,58,374,1072.11,1537.92,208.6798657,-7.397397200000001,16.6427,0.032819,4.7397800000000005,16.6788,0.0355,10.9362,20.915,0.113,1.9169999999999998,0.214,0.430517,0.036084,2.52,0.9840000000000001,1072.11,2.45411,1.15699,0.813,0.748,0.322619,0.296825,1.0869,0,0,0.823333,0.0,16.8,2207,1.0,16.7043,0.0462,208.6768539,-7.3966520000000004,21.3905,21.1529,20.9847,20.5233,0.000625,10.9481,1,9,2458462.0670832996,2458462.0670832996,40.1621322631836,0,99122086769714337,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,374120258,2458217.8477080003,2458305.676794,18,t8_f5_c3,37.9972,83.1957,-45.1984,26.1357,1.11726e-05,0.0462,677.0,0.088336,2.00032e-05,-1.355e-05,26.191,0.5670000000000001,0.316218,45.6689,-999.0,18.9095,-999.0,30.0,,,2018-12-09T13:36:35.997,58461.566655059345,-0.15729999999999933,16.60714799150153,8.182055573578124,5.154533065915558,5.75928436164845,0.1885827430606462,0.0355520084984704
1475148,ZTF18acvwobk,2458466.0577546,2,711557755915,19.8219,2,711557755915015017,t,17,711,59,374,1597.86,2228.22,209.4057871,-7.5994042,16.6054,0.0400898,16.8451,16.6097,0.0194,16.9965,22.301,0.23600000000000002,0.7759999999999999,-0.397,-0.156362,0.004303,2.47,0.987,852.2760000000001,3.21223,1.1348,0.795,0.7120000000000001,0.321862,0.288259,1.11657,2,0,0.866667,0.0,16.8,2207,1.0,16.595,0.0239,209.4012066,-7.5978992,-999.0,-999.0,21.9379,21.0431,0.00525,19.4506,1,14,2458466.0577546,2458466.0577546,42.5534019470215,0,98872094058334630,98872094113789983,20.5746,20.0219,19.7471,19.6599,0.99625,20.253,98872094102024797,21.6891,21.0128,21.0507,20.6933,0.0,24.3956,3,374120259,2458217.8477080003,2458305.676794,18,t8_f5_c3,67.8895,161.105,-93.2159,26.1804,5.3387e-06,0.037147,752.0,0.08392000000000001,9.9374e-06,-6.61e-06,26.23,0.561,0.308325,20.2297,-999.0,19.8728,-999.0,30.0,,,2018-12-13T13:23:09.997,58465.557326359216,-0.19460000000000122,16.605815199094128,8.58845133015052,5.1550280498239704,5.710822573261248,0.18254350858012197,-0.00041519909412812694
1475390,ZTF18acvwpjt,2458466.0626505003,2,711562655915,19.6149,2,711562655915015015,t,15,711,59,374,1595.9,2230.53,209.4066338,-7.5996665,16.6102,0.0395538,39.2315,16.6363,0.0215,16.9258,19.955,0.04,1.124,0.092,0.29387399999999997,0.026123,2.66,0.985,849.971,2.9786,1.16479,0.904,0.8320000000000001,0.33985,0.312782,1.08654,0,0,0.876667,0.0,16.8,2207,1.0,16.6148,0.0264,209.4113956,-7.6003045,20.5746,20.0219,19.7471,19.6599,0.99625,17.1242,1,15,2458466.0626505003,2458466.0626505003,86.82339477539058,0,98872094113789983,98872094058334630,-999.0,-999.0,21.9379,21.0431,0.00525,18.7096,98872094102024797,21.6891,21.0128,21.0507,20.6933,0.0,21.7776,3,374120259,2458217.8477080003,2458305.676794,18,t8_f5_c3,65.0318,143.516,-78.4846,26.1852,6.7483e-06,0.039468,748.0,0.08348,1.2621700000000001e-05,-8.37e-06,26.236,0.5579999999999999,0.30809699999999995,17.1009,-999.0,19.8728,-999.0,30.0,,,2018-12-13T13:30:13.003,58465.56222225959,-0.18980000000000175,16.605811501279252,8.588927907569078,5.155028656786159,5.710760961298307,0.18248861485946374,0.0043884987207469806
1476645,ZTF18acvwqqg,2458466.0675462997,2,711567545915,19.453,2,711567545915015021,t,21,711,59,374,1594.07,2233.04,209.4075072,-7.5998942,16.5942,0.0324718,4.15658,16.6285,0.0265,13.7781,19.955,0.04,1.124,0.092,0.022188,0.034260000000000006,2.3,0.9840000000000001,847.456,2.8245400000000003,1.2255200000000002,0.797,0.72,0.346522,0.31304299999999996,1.10694,2,0,0.876667,0.0,16.8,2207,1.0,16.6326,0.0337,209.4113956,-7.6003045,20.5746,20.0219,19.7471,19.6599,0.99625,13.93,1,16,2458466.0675462997,2458466.0675462997,33.1978950500488,0,98872094113789983,98872094058334630,-999.0,-999.0,21.9379,21.0431,0.00525,18.6362,98872094102024797,21.6891,21.0128,21.0507,20.6933,0.0,19.3834,3,374120259,2458217.8477080003,2458305.676794,18,t8_f5_c3,55.355,114.631,-59.2765,26.1912,7.887100000000001e-06,0.042869,748.0,0.091331,1.45954e-05,-9.74e-06,26.245,0.561,0.30890700000000004,13.9069,-999.0,19.8728,-999.0,30.0,,,2018-12-13T13:37:16.000,58465.567118059385,-0.20579999999999998,16.6058078003998,8.589404216153271,5.155029263735107,5.7106993722409145,0.18243520611875685,-0.011607800399797696
1561600,ZTF18acvlfjk,2458465.0650810003,2,710565085915,19.2263,2,710565085915015019,t,19,710,59,374,2216.24,2082.84,209.2272,-7.5503655,16.6238,0.0388969,7.91206,16.5737,0.0309,12.148,22.284000000000002,0.228,0.816,-0.044000000000000004,-1.31239,-0.050145,2.51,0.9840000000000001,856.257,2.65263,1.1301,0.887,0.8220000000000001,0.35338600000000003,0.32749,1.0790799999999998,1,0,0.86,0.0,16.8,2207,1.0,16.5351,0.0378,209.2303757,-7.5516985,21.8331,21.1618,20.9172,20.6231,0.407565,16.3364,1,12,2458465.0650810003,2458465.0650810003,55.7237014770508,0,98932092304786164,98942092320800388,-999.0,-999.0,21.5484,20.7577,0.07854169999999999,17.5318,98932092228417073,19.8408,19.6367,19.5417,19.5655,0.995417,17.8837,7,374120259,2458217.8477080003,2458305.676794,18,t8_f5_c3,37.9508,87.8975,-49.9467,25.8098,1.01146e-05,0.047936,745.0,0.100161,1.89926e-05,-1.256e-05,25.871,0.557,0.308264,17.8794,-999.0,19.5157,-999.0,30.0,,,2018-12-12T13:33:42.998,58464.56465275959,-0.17620000000000147,16.606374149430923,8.489617675058124,5.154904969187784,5.723093656267169,0.1840395331914291,0.017425850569075862
