,objectId,jd,fid,pid,diffmaglim,programid,candid,isdiffpos,tblid,nid,rcid,field,xpos,ypos,ra,decl,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,ssdistnr,ssmagnr,ssnamenr,sumrat,magapbig,sigmagapbig,ranr,decnr,sgmag1,srmag1,simag1,szmag1,sgscore1,distpsnr1,ndethist,ncovhist,jdstarthist,jdendhist,scorr,tooflag,objectidps1,objectidps2,sgmag2,srmag2,simag2,szmag2,sgscore2,distpsnr2,objectidps3,sgmag3,srmag3,simag3,szmag3,sgscore3,distpsnr3,nmtchps,rfid,jdstartref,jdendref,nframesref,rbversion,dsnrms,ssnrms,dsdiff,magzpsci,magzpsciunc,magzpscirms,nmatches,clrcoeff,clrcounc,zpclrcov,zpmed,clrmed,clrrms,neargaia,neargaiabright,maggaia,maggaiabright,exptime,drb,drbversion,obsdate,mjd,magcorrZTF,magOO,phaseangle,heliodist,geodist,velocity,magcorrOO
138360,ZTF18abrymqj,2458360.8585301004,1,606358531315,19.2465,1,606358531315015006,t,6,606,13,440,984.8389999999999,2862.41,309.41882539999995,-5.4741407,18.563,0.123724,1.0228899999999999,18.6922,0.1582,4.59173,20.93,0.068,1.2790000000000001,0.07400000000000001,0.36088899999999996,0.12920399999999999,4.8,0.9329999999999999,218.09400000000002,0.5543319999999999,0.770894,1.208,1.173,0.25166700000000003,0.244375,1.0298399999999999,1,0,0.573333,0.0,18.0,11351,1.0,18.7325,0.2103,309.417528,-5.4741306,-999.0,21.9787,21.418000000000003,20.8206,0.0385417,2.59845,1,2,2458360.8585301004,2458360.8585301004,12.3208112716675,0,101433094188340556,101433094175081489,20.9168,20.5848,20.4848,20.4839,0.986,4.716130000000001,101423094189689133,-999.0,21.8952,21.0757,20.5361,0.0120833,6.941269999999999,10,440120113,2458228.982743,2458349.709965,15,t8_f5_c3,4.16744,13.5949,-9.427439999999999,26.146,8.8577e-06,0.04141,1834.0,-0.019441,2.70423e-05,-1.464e-05,26.136999999999997,0.48100000000000004,0.18523900000000001,4.71788,-999.0,20.4726,-999.0,,,,2018-08-30T08:36:17.001,58360.358101859696,0.5629999999999988,18.611451480933784,5.380571873141342,5.301989710478146,4.3997940597395395,0.10356893305064303,-0.04845148093378526
164384,ZTF18abssqjs,2458365.7079514,2,611207950315,20.3923,1,611207950315015000,t,0,611,3,439,506.204,431.417,308.9791796,-5.6576191,18.4033,0.10781500000000001,5.79438,18.4447,0.067,0.9805510000000001,22.289,0.244,0.8170000000000001,-0.34299999999999997,0.11826199999999999,0.041385000000000005,2.21,0.983,431.417,1.94765,1.13372,0.759,0.599,0.343439,0.271041,1.26711,5,0,0.71,0.0,18.0,11351,0.916192,18.4767,0.0872,308.9789479,-5.6574695,-999.0,-999.0,21.4924,21.3517,0.0644941,1.18802,1,2,2458365.7079514,2458365.7079514,28.395807266235398,0,101213089788641477,101203089789006537,-999.0,-999.0,21.5171,-999.0,0.5436489999999999,14.5376,101213089812246188,-999.0,-999.0,21.4008,20.5223,0.00541667,16.1583,14,439120203,2458256.919549,2458359.772778,15,t8_f5_c3,20.9379,48.345,-27.4071,25.9363,1.4586e-06,0.02377,2123.0,0.080601,4.6561e-06,-2.46e-06,25.978,0.473,0.185719,26.3251,80.1562,18.8598,13.4954,,,,2018-09-04T04:59:27.001,58365.20752315922,0.40330000000000155,18.067817856257836,6.137038344941561,5.299690035510656,4.434909199629735,0.09443896139293738,0.33548214374216556
204780,ZTF18abtvhge,2458368.750104201,1,614250100315,20.4945,1,614250100315015005,t,5,614,3,439,1401.19,840.485,308.7307367,-5.7732937999999985,18.471,0.0791686,5.10237,18.5391,0.0594,1.2097,22.711,0.284,0.7440000000000001,-0.47100000000000003,0.128178,0.0681,2.88,0.982,840.485,1.9554099999999999,0.9887729999999999,0.875,0.7809999999999999,0.303819,0.271181,1.12036,1,0,0.783333,0.0,18.1,11351,1.0,18.5066,0.0727,308.73085719999995,-5.7736123,-999.0,21.8122,21.8912,-999.0,0.079,0.532533,1,3,2458368.750104201,2458368.750104201,33.221668243408196,0,101073087309902313,101073087328700394,22.0807,21.7574,21.6322,-999.0,0.10007100000000001,9.48705,101073087350301744,21.9224,20.7482,19.8774,19.469,0.99575,15.5647,11,439120103,2458246.965035,2458365.777893,15,t8_f5_c3,18.0521,49.0483,-30.9963,26.043000000000003,1.6461000000000002e-06,0.02058,2118.0,-0.027652999999999997,5.1873e-06,-2.75e-06,26.031,0.473,0.189848,25.0985,84.3711,19.1702,13.8178,,,,2018-09-07T06:00:09.003,58368.24967595982,0.37099999999999866,18.70053131323912,6.596873116421597,5.298246531971188,4.459876954274799,0.08755401328809316,-0.22953131323912146
205180,ZTF18abtvudk,2458368.7739699,2,614273960315,20.1769,1,614273960315015004,t,4,614,3,439,1403.55,842.128,308.7287935,-5.77423,17.9156,0.062199300000000006,11.0685,17.9985,0.0484,14.9824,21.838,0.192,1.204,-0.322,0.186674,0.082923,3.62,0.983,842.128,2.17837,0.782347,0.92,0.742,0.254144,0.204972,1.23989,1,0,0.743333,0.0,18.1,11351,1.0,17.9523,0.0585,308.7329701000001,-5.7749094,-999.0,21.8122,21.8912,-999.0,0.079,8.15991,1,4,2458368.7739699,2458368.7739699,31.5700740814209,0,101073087309902313,101063087265139026,-999.0,-999.0,21.8735,20.9759,0.701417,10.7885,101073087328700394,22.0807,21.7574,21.6322,-999.0,0.10007100000000001,14.632,12,439120203,2458256.919549,2458359.772778,15,t8_f5_c3,30.8046,62.5192,-31.7145,25.9716,1.3231999999999999e-06,0.022281,2123.0,0.07335900000000001,4.2129e-06,-2.23e-06,26.009,0.473,0.18615299999999999,19.5003,-999.0,19.6294,-999.0,,,,2018-09-07T06:34:30.999,58368.273541659124,-0.18440000000000012,18.10191528302591,6.600487040020802,5.298235205141316,4.460082875759313,0.08737782288059258,-0.18631528302590894
255220,ZTF18abuszsq,2458371.7499769,1,617249970315,20.665,1,617249970315015008,t,8,617,3,439,2186.12,1244.72,308.508652,-5.8869266,18.7122,0.07661439999999999,3.65211,18.7036,0.0653,3.9874699999999996,20.836,0.065,1.046,-0.05,0.275034,-0.008631,2.34,0.982,886.3839999999999,1.96144,1.10258,0.775,0.708,0.33119699999999996,0.302564,1.09463,1,0,0.833333,0.0,18.1,11351,1.0,18.6902,0.0813,308.5075258,-5.8868763,-999.0,-999.0,21.7669,21.1081,0.824625,0.808882,1,5,2458371.7499769,2458371.7499769,31.7823791503906,0,100933085088316076,100933085075016156,20.773000000000003,19.9225,19.5661,19.4394,0.9940000000000001,4.11225,100933085081479669,21.89,21.4429,21.2533,20.7865,0.00416667,10.9212,13,439120103,2458246.965035,2458365.777893,15,t8_f5_c3,32.1531,52.0433,-19.8903,26.0652,1.3566e-06,0.018896,2115.0,-0.029617,4.286600000000001e-06,-2.27e-06,26.051,0.473,0.189497,4.1152,-999.0,19.7942,-999.0,,,,2018-09-10T05:59:58.004,58371.2495486592,0.6121999999999979,18.733238798458284,7.034648061084251,5.296822468858634,4.486611808731569,0.08037147789536789,-0.021038798458285157
255676,ZTF18abutqlj,2458371.7948958,2,617294890315,20.1559,1,617294890315015013,t,13,617,3,439,2194.75,1243.7,308.5053582,-5.8886395999999985,18.1056,0.06045349999999999,7.43715,18.0306,0.0508,4.78798,22.526,0.319,0.972,-0.52,-0.07383989999999999,-0.075044,3.08,0.9890000000000001,877.752,2.12529,0.91443,0.895,0.867,0.290584,0.281494,1.0323,1,0,0.826667,0.0,18.1,11351,1.0,17.9975,0.0624,308.5067142,-5.888666099999999,-999.0,21.5667,20.691,20.2579,0.9072709999999999,9.29589,1,6,2458371.7948958,2458371.7948958,40.8262138366699,0,100933085038541571,100933085075016156,20.773000000000003,19.9225,19.5661,19.4394,0.9940000000000001,9.98674,100933085037870291,21.7017,20.7635,19.4896,18.9012,0.974583,12.6374,12,439120203,2458256.919549,2458359.772778,15,t8_f5_c3,26.7203,54.5471,-27.8268,25.9876,1.238e-06,0.02194,2124.0,0.074584,3.9519e-06,-2.09e-06,26.026,0.473,0.18571500000000002,9.9832,-999.0,19.7942,-999.0,,,,2018-09-10T07:04:38.997,58371.29446755909,0.005599999999997607,18.134848319530942,7.041190035562662,5.296801140955592,4.487031339500127,0.07995582686505666,-0.02924831953094298
313673,ZTF18abvnsvf,2458374.6673148,2,620167310315,20.1576,1,620167310315015009,t,9,620,3,439,2861.38,1662.87,308.3158355,-5.9963378,18.5523,0.0746485,3.24703,18.4461,0.0768,14.0812,22.305,0.273,1.077,-0.467,-0.11161800000000001,-0.106244,2.65,0.982,211.11700000000002,1.7114900000000002,1.0134299999999998,0.8690000000000001,0.72,0.327925,0.271698,1.20694,3,0,0.8,0.0,18.1,11351,1.0,18.5145,0.1039,308.3184999,-5.9992839999999985,-999.0,-999.0,20.9254,20.5402,0.042833300000000005,11.9654,1,7,2458374.6673148,2458374.6673148,26.484054565429698,0,100803083187576806,100803083184058506,20.2839,19.1822,18.6541,18.3894,0.910631,14.3402,100803083185511310,-999.0,22.1642,21.9362,21.5071,0.852583,14.48,12,439120203,2458256.919549,2458359.772778,15,t8_f5_c3,20.3801,36.1009,-15.7208,25.9953,1.2001e-06,0.021755,2123.0,0.076363,3.8575e-06,-2.03e-06,26.035,0.47200000000000003,0.183729,17.1189,80.8825,19.9351,8.56277,,,,2018-09-13T04:00:55.999,58374.16688655923,0.4522999999999975,18.16553989351152,7.442786544499214,5.295437017927508,4.514528918470987,0.07320162184637298,0.38676010648847736
315746,ZTF18abvpjht,2458374.7694213,1,620269420315,20.291,1,620269420315015009,t,9,620,3,439,2894.76,1664.52,308.3092322,-6.0001357,19.0961,0.11036199999999999,2.3185700000000002,19.2154,0.1224,9.45205,22.805999999999997,0.305,0.7120000000000001,-0.245,0.105867,0.119327,2.88,0.976,177.735,1.07555,1.04712,0.8759999999999999,0.804,0.304167,0.279167,1.08955,1,0,0.776667,0.0,18.1,11351,1.0,19.1302,0.1443,308.3083663000001,-5.9976231,21.1312,20.0669,19.5646,19.2674,0.8818870000000001,10.3524,1,8,2458374.7694213,2458374.7694213,21.543226242065398,0,100803083114992402,100793083080765087,18.8824,18.1786,17.9186,17.8018,0.989137,16.1882,100803083047862496,17.362000000000002,17.0,16.8628,16.8242,0.9552290000000001,17.2276,4,439120103,2458246.965035,2458365.777893,15,t8_f5_c3,11.9492,25.6175,-13.6683,26.0701,1.7318999999999999e-06,0.022397,2110.0,-0.053117,5.5361e-06,-2.92e-06,26.044,0.47200000000000003,0.185977,10.3477,-999.0,19.9351,-999.0,,,,2018-09-13T06:27:58.000,58374.26899305918,0.9960999999999984,18.765516924034547,7.457027750225459,5.295388517453768,4.5155412721867405,0.0726923789933392,0.33058307596545333
372928,ZTF18abwnwmb,2458377.7744792,2,623274470215,20.2907,1,623274470215015022,t,22,623,2,439,429.55300000000005,2033.56,308.1360652,-6.1109111,17.9125,0.0659617,19.3336,17.9792,0.0495,5.76366,22.89,0.35700000000000004,0.581,-0.217,0.0849416,0.06669800000000001,2.23,0.997,429.55300000000005,2.31155,1.0937700000000001,0.69,0.618,0.309417,0.27713000000000004,1.1165,1,0,0.853333,0.0,18.2,11351,1.0,17.9812,0.0627,308.1344864,-6.111325099999998,20.4403,19.2638,18.7237,18.4546,0.98875,9.67657,1,5,2458377.7744792,2458377.7744792,48.9190444946289,0,100663081379335018,100663081403305788,-999.0,-999.0,21.4695,-999.0,0.5,15.8493,100673081335131782,14.0521,13.7994,13.7029,13.6961,0.976458,16.2381,17,439120202,2458256.919549,2458371.794896,15,t8_f5_c3,40.4314,75.3159,-34.8844,26.0575,1.0402e-06,0.020491,2081.0,0.077203,3.3267000000000003e-06,-1.76e-06,26.096999999999998,0.475,0.180528,16.2121,16.2121,13.7065,13.7065,,,,2018-09-16T06:35:15.003,58377.274050959386,-0.28749999999999787,18.19811587827308,7.857012289291333,5.293960828394444,4.546232004188091,0.06492757465213093,-0.28561587827307733
373707,ZTF18abwnnzb,2458377.7547106,1,623254710215,20.4137,1,623254710215015018,t,18,623,2,439,424.798,2035.43,308.137197,-6.1101825,18.5555,0.07273550000000001,5.32068,18.5613,0.0671,9.73753,20.531999999999996,0.064,1.703,-0.14300000000000002,0.27484899999999995,0.005816,2.36,0.982,424.798,1.8523900000000002,1.1596799999999998,0.787,0.721,0.333475,0.305508,1.09154,1,0,0.793333,0.0,18.2,11351,1.0,18.6538,0.0925,308.1379575,-6.112815900000001,20.4403,19.2638,18.7237,18.4546,0.98875,9.993139999999999,1,4,2458377.7547106,2458377.7547106,33.9564399719238,0,100663081379335018,100663081403305788,-999.0,-999.0,21.4695,-999.0,0.5,13.2767,100663081405505452,-999.0,-999.0,21.5927,21.2323,0.07720830000000001,14.6233,16,439120102,2458246.965035,2458368.750104,15,t8_f5_c3,21.7017,48.91,-27.2083,26.1375,1.5997e-06,0.021774,2077.0,-0.063279,5.150499999999999e-06,-2.72e-06,26.107,0.473,0.17958,17.0127,17.0127,13.705,13.705,,,,2018-09-16T06:06:46.996,58377.254282359514,0.35549999999999926,18.796790396103415,7.854400982027742,5.293970222162472,4.546022267322918,0.06512392751415569,-0.24129039610341607
