,objectId,jd,fid,pid,diffmaglim,programid,candid,isdiffpos,tblid,nid,rcid,field,xpos,ypos,ra,decl,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,ssdistnr,ssmagnr,ssnamenr,sumrat,magapbig,sigmagapbig,ranr,decnr,sgmag1,srmag1,simag1,szmag1,sgscore1,distpsnr1,ndethist,ncovhist,jdstarthist,jdendhist,scorr,tooflag,objectidps1,objectidps2,sgmag2,srmag2,simag2,szmag2,sgscore2,distpsnr2,objectidps3,sgmag3,srmag3,simag3,szmag3,sgscore3,distpsnr3,nmtchps,rfid,jdstartref,jdendref,nframesref,rbversion,dsnrms,ssnrms,dsdiff,magzpsci,magzpsciunc,magzpscirms,nmatches,clrcoeff,clrcounc,zpclrcov,zpmed,clrmed,clrrms,neargaia,neargaiabright,maggaia,maggaiabright,obsdate,magcorr
22,ZTF18abcfdbf,2458288.7996065,2,534299606215,20.6072,2,534299606215015005,t,5,534,62,681,2119.23,689.251,254.8276852,36.0097709,19.2718,0.129799,2.91182,19.0577,0.0967,3.86784,21.172,0.083,1.329,0.02,-0.50512,-0.214096,2.57,0.975,689.251,1.54952,0.964065,0.772,0.617,0.300389,0.240078,1.25122,2,0,0.546667,3.0,19.2,516976,1.0,19.0252,0.1194,254.8272313,36.0107941,21.8875,21.5834,21.2423,20.9224,0.0,3.96728,1,623,2458288.7996065,2458288.7996065,20.6734619140625,0,151212548272693616,151212548275255284,21.9289,-999.0,21.3099,17.647,0.5,9.08196,151212548278675820,22.4269,21.8817,21.7319,-999.0,0.065,10.0108,4,681120262,2458157.033507,2458218.002708,20,,,,,,,,,,,,,,,,,,,2018-06-19T07:11:26.002,0.07179999999999964
24,ZTF18abcezmv,2458288.789537,2,534289536215,20.5832,2,534289536215015005,t,5,534,62,681,2157.43,717.186,254.8149788,35.9994965,19.0642,0.117844,3.98552,19.0137,0.107,2.2898,16.749,0.011,0.141,-0.004,-0.0543942,-0.050543,5.66,0.978,717.186,1.56951,0.43322,0.884,0.797,0.156184,0.140813,1.10916,2,0,0.54,3.0,19.2,516976,1.0,18.9109,0.1192,254.81425890000003,35.9997713,-999.0,-999.0,21.2124,-999.0,0.5,1.28934,1,622,2458288.789537,2458288.789537,14.3341007232666,0,151192548146989615,151202548142610282,17.2086,16.7945,16.6058,16.5432,0.99875,2.23484,151192548117175315,21.3153,21.0378,20.8439,20.6526,0.982917,17.0161,6,681120262,2458157.033507,2458218.002708,20,,,,,,,,,,,,,,,,,,,2018-06-19T06:56:55.997,-0.1357999999999997
43,ZTF18abcfdqr,2458288.8005093,2,534300505115,20.6662,2,534300505115015010,t,10,534,51,680,2394.53,699.861,254.8288096,36.0106801,19.344,0.148895,4.37334,19.493,0.1398,4.69302,21.05,0.089,1.44,0.134,0.597421,0.148964,2.97,0.862,677.975,1.17321,0.814246,0.819,0.741,0.275758,0.249495,1.10526,1,0,0.57,3.0,19.2,516976,1.0,19.2191,0.1388,254.8271809,36.01074910000001,21.8875,21.5834,21.2423,20.9224,0.0,4.65067,1,624,2458288.8005093,2458288.8005093,20.368673324585,0,151212548272693616,151212548275255284,21.9289,-999.0,21.3099,17.647,0.5,7.14749,151212548278675820,22.4269,21.8817,21.7319,-999.0,0.065,7.23718,5,680120251,2458155.066736,2458217.981921,18,,,,,,,,,,,,,,,,,,,2018-06-19T07:12:44.004,0.1440000000000019
48,ZTF18abcfmvv,2458288.8168634,2,534316866215,20.6782,2,534316866215015006,t,6,534,62,681,2055.44,626.762,254.84956040000003,36.02730820000001,19.1209,0.118918,5.21885,19.0851,0.0935,11.117,22.985,0.358,1.01,-0.552,-0.136736,-0.03579,2.54,0.991,626.762,1.59305,0.971429,0.75,0.669,0.295276,0.263386,1.12108,2,0,0.64,4.0,19.2,516976,1.0,19.0648,0.1167,254.8483602,36.0302777,16.8835,16.3236,16.055,15.9505,0.989167,12.7522,1,625,2458288.8168634,2458288.8168634,24.2939281463623,0,151222548484299240,151232548540845715,-999.0,21.6673,21.2976,21.0286,0.772173,14.8534,151232548541047333,-999.0,22.2048,21.8499,-999.0,0.886518,17.6673,8,681120262,2458157.033507,2458218.002708,20,,,,,,,,,,,,,,,,,,,2018-06-19T07:36:16.998,-0.07910000000000039
50,ZTF18abcgfre,2458288.8524421,1,534352445115,20.8315,2,534352445115015013,t,13,534,51,680,2219.1,498.142,254.8947361,36.06306970000001,19.3685,0.1081,0.944964,19.3094,0.0969,17.2272,14.694,0.014,0.608,-0.022,-0.0546365,-0.059091,2.33,0.977,498.142,1.5221,1.09676,0.834,0.806,0.35794,0.345923,1.03474,1,0,0.616667,4.0,19.2,516976,1.0,19.1727,0.1088,254.8948008,36.0582228,18.325,20.8609,-999.0,-999.0,0.5,8.82839,1,628,2458288.8524421,2458288.8524421,23.0696678161621,0,151272548925244306,151272548916922417,-999.0,-999.0,21.6144,20.7597,0.0971845,14.789,151272548915549979,-999.0,-999.0,21.3791,-999.0,0.00270833,14.7891,7,680120151,2458203.899282,2458207.006748,15,,,,,,,,,,,,,,,,,,,2018-06-19T08:27:30.997,0.16850000000000165
52,ZTF18abcgfpe,2458288.8529051,1,534352906215,20.8474,2,534352906215015015,t,15,534,62,681,1923.99,495.613,254.8953528,36.0635559,19.3874,0.112921,2.63541,19.511,0.1089,19.045,14.68,0.01,0.336,-0.013,0.424795,0.123645,2.31,0.978,495.613,1.33637,1.16868,0.757,0.709,0.327706,0.306926,1.0677,0,0,0.653333,4.0,19.2,516976,1.0,19.5662,0.1452,254.8947787,36.05821870000001,18.325,20.8609,-999.0,-999.0,0.5,11.3347,1,627,2458288.8529051,2458288.8529051,24.0232105255127,0,151272548925244306,151272548915549979,-999.0,-999.0,21.3791,-999.0,0.00270833,14.7685,151282548916410405,-999.0,-999.0,21.6744,-999.0,0.5,15.1391,7,681120162,2458203.899757,2458206.024595,15,,,,,,,,,,,,,,,,,,,2018-06-19T08:28:11.001,0.18740000000000023
60,ZTF18abcgkzi,2458288.8695255,1,534369526215,20.5624,2,534369526215015006,t,6,534,62,681,1858.85,435.51,254.9165296,36.0800522,19.4732,0.13146,2.21441,19.2719,0.099,8.9112,21.651,0.111,0.479,-0.072,0.100054,-0.201335,3.0,0.961,435.51,1.29054,1.02801,1.141,1.056,0.380333,0.352,1.08049,1,0,0.503333,3.0,19.2,516976,1.0,19.2261,0.1206,254.919593,36.08043970000001,-999.0,-999.0,16.9707,-999.0,0.5,7.48513,1,629,2458288.8695255,2458288.8695255,18.788349151611303,0,151292549155478965,151292549192736923,-999.0,-999.0,20.9313,-999.0,0.5,8.10196,151292549195867140,21.8505,21.3664,21.2546,20.9935,0.00125,9.15458,10,681120162,2458203.899757,2458206.024595,15,,,,,,,,,,,,,,,,,,,2018-06-19T08:52:07.003,0.2731999999999992
62,ZTF18abcglgk,2458288.8690625,1,534369065115,20.7862,2,534369065115015010,t,10,534,51,680,2160.99,429.772,254.9159493,36.0796407,19.5287,0.119172,1.34555,19.519,0.1154,7.92035,22.62,0.354,1.039,-0.454,-0.172021,-0.009709,2.96,0.947,429.772,1.26715,0.908881,0.879,0.821,0.296959,0.277365,1.07065,1,0,0.586667,4.0,19.2,516976,1.0,19.5385,0.1496,254.9135894,36.0807839,-999.0,-999.0,16.9707,-999.0,0.5,8.48589,1,630,2458288.8690625,2458288.8690625,19.7875823974609,0,151292549155478965,151292549192736923,-999.0,-999.0,20.9313,-999.0,0.5,9.97782,151292549195867140,21.8505,21.3664,21.2546,20.9935,0.00125,11.1226,11,680120151,2458203.899282,2458207.006748,15,,,,,,,,,,,,,,,,,,,2018-06-19T08:51:27.000,0.3287000000000013
74,ZTF18abcgqee,2458288.8816088,1,534381605115,20.6581,2,534381605115015005,t,5,534,51,680,2119.9,384.941,254.9320515,36.0919608,19.8719,0.162006,1.42314,19.789,0.1536,7.13897,23.029,0.309,0.222,0.142,-0.329211,-0.082869,4.1,0.299,384.941,0.869126,0.704755,1.131,1.084,0.275854,0.26439,1.04336,0,0,0.39,3.0,19.2,516976,1.0,19.9719,0.2316,254.9323261,36.0939535,-999.0,-999.0,21.5438,20.9628,0.711,8.30744,1,631,2458288.8816088,2458288.8816088,13.688732147216802,0,151302549338528751,151312549395980612,20.4058,19.6904,19.3832,19.202,0.996708,21.9397,151302549245648900,22.4306,21.2545,20.5123,20.1407,0.0663214,22.485,4,680120151,2458203.899282,2458207.006748,15,,,,,,,,,,,,,,,,,,,2018-06-19T09:09:31.000,0.6719000000000008
75,ZTF18abcgreg,2458288.8820833,1,534382086215,20.4987,2,534382086215015000,t,0,534,62,681,1812.76,395.133,254.9327472,36.09248839999999,20.0946,0.191116,1.01388,20.0028,0.1982,15.2339,22.763,0.301,0.61,-0.327,-0.139169,-0.091778,3.72,0.73,395.133,0.495892,0.846473,1.038,0.929,0.279032,0.249731,1.11733,2,0,0.37,4.0,19.2,516976,1.0,20.1048,0.278,254.9331089,36.096761,-999.0,-999.0,21.5438,20.9628,0.711,8.98729,1,632,2458288.8820833,2458288.8820833,11.2757978439331,0,151302549338528751,151312549395980612,20.4058,19.6904,19.3832,19.202,0.996708,20.1113,151312549314118840,22.269,21.1254,20.4606,20.1386,0.065625,21.8193,4,681120162,2458203.899757,2458206.024595,15,,,,,,,,,,,,,,,,,,,2018-06-19T09:10:11.997,0.8946000000000005
