,objectId,jd,fid,pid,diffmaglim,programid,candid,isdiffpos,tblid,nid,rcid,field,xpos,ypos,ra,decl,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,ssdistnr,ssmagnr,ssnamenr,sumrat,magapbig,sigmagapbig,ranr,decnr,sgmag1,srmag1,simag1,szmag1,sgscore1,distpsnr1,ndethist,ncovhist,jdstarthist,jdendhist,scorr,tooflag,objectidps1,objectidps2,sgmag2,srmag2,simag2,szmag2,sgscore2,distpsnr2,objectidps3,sgmag3,srmag3,simag3,szmag3,sgscore3,distpsnr3,nmtchps,rfid,jdstartref,jdendref,nframesref,rbversion,dsnrms,ssnrms,dsdiff,magzpsci,magzpsciunc,magzpscirms,nmatches,clrcoeff,clrcounc,zpclrcov,zpmed,clrmed,clrrms,neargaia,neargaiabright,maggaia,maggaiabright,obsdate,magcorr
579,ZTF18abcqgrg,2458291.8406713,1,537340671415,20.2537,2,537340671415015085,t,85,537,14,795,2199.28,1914.71,241.230106,51.414745,19.8217,0.182749,1.42804,19.646,0.2169,15.8224,22.797,0.294,0.357,-0.286,1.48569,-0.175688,2.85,0.986,873.22,0.607656,0.906136,0.872,0.744,0.305965,0.261053,1.17204,2,0,0.4,1.0,19.4,2018LF05,1.0,19.6935,0.2902,241.2267667,51.4186766,-999.0,21.961,21.7841,21.3275,0.61,9.55233,1,973,2458291.8406713,2458291.8406713,11.5180110931396,0,169702412287101344,169702412374464574,-999.0,21.7296,21.1931,20.6955,0.859214,24.5567,169702412416372200,-999.0,21.5843,20.8392,20.4595,0.00225,27.7476,3,795120114,2458203.893588,2458206.002153,15,,,,,,,,,,,,,,,,,,,2018-06-22T08:10:34.000,0.4217000000000013
679,ZTF18abcrxon,2458292.7208565,1,538220856315,20.183,2,538220856315015002,t,2,538,63,761,1335.88,1259.2,240.2457429,50.2203744,19.713,0.194273,1.0871,19.4417,0.1976,5.16895,22.802,0.302,0.867,-0.124,0.226213,-0.271281,3.01,0.958,1259.2,0.74127,0.829886,0.853,0.775,0.283389,0.257475,1.10065,7,0,0.353333,1.0,19.3,2018LF05,0.90964,19.2925,0.2209,240.2448419,50.2217084,21.7981,21.3655,20.7013,20.3674,0.0400833,20.8457,1,295,2458292.7208565,2458292.7208565,11.024862289428699,0,168262402380788801,168252402523589718,21.7256,20.9394,20.5559,20.256,0.00125,22.2427,168262402555346836,21.3113,20.4794,20.0181,19.7868,0.78369,23.1667,5,761120163,2458203.883218,2458227.867118,17,,,,,,,,,,,,,,,,,,,2018-06-23T05:18:02.002,0.41300000000000026
682,ZTF18abcsbir,2458292.7461806,2,538246186315,20.2332,2,538246186315015001,t,1,538,63,761,1418.22,1385.18,240.2143114,50.1841471,19.1962,0.128678,1.11582,19.2048,0.1659,5.32082,23.034,0.316,0.963,-0.313,-0.224552,0.008618,3.53,0.98,1385.18,1.02841,0.648591,0.803,0.587,0.227479,0.166289,1.36797,5,0,0.346667,1.0,19.3,2018LF05,0.968684,19.2219,0.2157,240.2157135,50.1829521,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,296,2458292.7461806,2458292.7461806,17.2328567504883,0,-999,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0,761120263,2458186.987002,2458218.960359,18,,,,,,,,,,,,,,,,,,,2018-06-23T05:54:30.004,-0.10379999999999967
688,ZTF18abcsdtm,2458292.7599653,2,538259966315,20.22,2,538259966315015004,t,4,538,63,761,1461.91,1454.25,240.1973975,50.1643361,19.2777,0.120151,1.29781,19.172,0.1629,4.65536,19.754,0.022,0.467,-0.007,0.133135,-0.105697,2.17,0.981,1454.25,1.04801,1.06268,0.74,0.623,0.341014,0.287097,1.1878,7,0,0.543333,1.0,19.3,2018LF05,0.897683,19.088,0.1928,240.1993866,50.1646435,20.9721,19.8745,18.9643,18.5234,0.9925,4.70464,1,297,2458292.7599653,2458292.7599653,17.5099315643311,0,168192401994328246,168192401959039749,19.7812,19.5062,19.4209,19.3883,0.9795,6.52385,168202401986811349,-999.0,22.0951,21.8263,-999.0,0.00208333,10.4757,5,761120263,2458186.987002,2458218.960359,18,,,,,,,,,,,,,,,,,,,2018-06-23T06:14:21.002,-0.02230000000000132
867,ZTF18abcvlwf,2458293.6862384,1,539186233215,19.938,2,539186233215015015,t,15,539,32,760,1087.45,2492.07,239.1214682,48.7554498,19.6942,0.201967,1.28029,19.7456,0.315,8.39454,15.376,0.018,1.045,-0.033,0.030857,0.051392,4.72,0.927,588.427,0.192357,0.559434,0.953,0.879,0.201907,0.186229,1.08419,8,0,0.386667,1.0,19.2,2018LF05,0.945627,18.7467,0.1679,239.1183203,48.7565755,15.3799,14.4829,14.0301,13.8658,0.990625,8.43359,1,422,2458293.6862384,2458293.6862384,8.62419033050537,0,166502391183458502,166502391284287973,21.8042,21.3812,21.1572,20.8282,0.00166667,16.6376,166502391230491827,-999.0,-999.0,21.662,21.1248,0.0220833,16.6812,8,760120132,2458166.989815,2458206.003542,16,,,,,,,,,,,,,,,,,,,2018-06-24T04:28:10.998,0.4941999999999993
868,ZTF18abcvmoc,2458293.7041319,1,539204134515,19.9578,2,539204134515015015,t,15,539,45,761,1181.94,2690.84,239.0987607,48.72693710000001,19.7392,0.201639,0.87136,19.5807,0.2536,14.4576,22.831,0.294,0.633,-0.277,-0.176214,-0.158487,2.99,0.961,389.659,0.37707,0.9068,1.035,0.835,0.346154,0.279264,1.23952,2,0,0.346667,1.0,19.2,2018LF05,1.0,19.8132,0.4029,239.1011005,48.7306997,-999.0,-999.0,21.4594,20.8587,0.0,14.834,1,310,2458293.7041319,2458293.7041319,8.57770347595215,0,166472390925133074,166472391058521296,21.7414,21.4792,21.0376,20.8197,0.001875,17.5812,166472390936437774,-999.0,22.2019,20.7185,20.0798,0.96675,18.612,6,761120145,2458203.883218,2458227.867118,17,,,,,,,,,,,,,,,,,,,2018-06-24T04:53:56.996,0.539200000000001
870,ZTF18abcvoyk,2458293.7465625,2,539246563215,20.3442,2,539246563215015021,t,21,539,32,760,1252.75,2842.76,239.0443665,48.6583994,19.3341,0.171594,2.71951,19.0946,0.1438,5.36449,22.732,0.224,0.505,0.005,-0.0504432,-0.239476,2.53,0.994,237.735,1.24955,0.855633,0.925,0.785,0.365613,0.310277,1.17834,2,0,0.393333,1.0,19.2,2018LF05,1.0,19.0226,0.1722,239.0421912,48.6588628,22.0217,20.6037,19.9198,19.6498,0.0025,12.9346,1,414,2458293.7465625,2458293.7465625,14.739967346191401,0,166382390480957698,166392390377832451,-999.0,22.1474,21.6182,20.9718,0.021875,16.1558,166382390363299838,20.8636,20.3154,-999.0,-999.0,0.5,19.0449,6,760120232,2458155.055255,2458214.851065,15,,,,,,,,,,,,,,,,,,,2018-06-24T05:55:03.000,0.1341000000000001
872,ZTF18abcvsgb,2458293.7650463,2,539265043215,20.3278,2,539265043215015025,t,25,539,32,760,1303.69,2944.34,239.0208236,48.6282994,19.2147,0.13975,3.07191,19.2982,0.1736,12.5835,23.006,0.359,0.79,-0.351,-0.128,0.08348,2.55,0.969,136.165,1.02958,0.858027,0.761,0.641,0.298431,0.251373,1.18721,3,0,0.443333,1.0,19.2,2018LF05,1.0,19.2786,0.2184,239.0154984,48.6279255,20.2409,19.1283,18.5478,18.2798,0.968042,19.3503,1,316,2458293.7650463,2458293.7650463,16.9101963043213,0,166352390276741129,166352390279980545,-999.0,-999.0,19.4135,18.773,0.916917,21.207,166362390250642494,20.6153,20.3542,20.0376,-999.0,0.5,25.2104,4,760120232,2458155.055255,2458214.851065,15,,,,,,,,,,,,,,,,,,,2018-06-24T06:21:40.000,0.014700000000001268
873,ZTF18abcvpng,2458293.7502662004,2,539250264515,20.1652,2,539250264515015005,t,5,539,45,761,1340.66,2949.29,239.03976,48.6523602,19.4249,0.211853,2.3521,19.3872,0.1964,4.36017,23.242,0.326,0.605,-0.19,0.488025,-0.037718,3.78,0.885,131.212,0.777955,0.643896,1.067,0.792,0.282275,0.209524,1.34722,3,0,0.28,1.0,19.2,2018LF05,0.98839,19.3803,0.2501,239.0406756,48.6534281,21.7838,21.997,21.7742,-999.0,0.0733274,6.16644,1,221,2458293.7502662004,2458293.7502662004,13.452735900878901,0,166382390399451527,166382390357215859,-999.0,-999.0,21.5031,-999.0,0.5,11.8514,166382390361789492,19.7857,18.5707,17.5605,17.0947,0.979292,19.888,10,761120245,2458186.9673490003,2458217.979965,16,,,,,,,,,,,,,,,,,,,2018-06-24T06:00:23.000,0.22490000000000165
881,ZTF18abcvuen,2458293.7856018995,2,539285604615,20.0075,2,539285604615015000,t,0,539,46,761,1462.8,61.2831,238.9946296,48.5946398,19.2387,0.149542,1.48107,19.2243,0.1771,6.5656,22.747,0.237,0.87,-0.317,0.419667,-0.014445,4.14,0.717,61.2831,0.78322,0.650961,0.984,0.788,0.237681,0.190338,1.24873,4,0,0.343333,1.0,19.2,2018LF05,0.882476,19.4169,0.2711,238.9929636,48.5961225,19.7803,18.7265,18.2757,18.0649,1.0,7.31435,1,667,2458293.7856018995,2458293.7856018995,15.478266716003402,0,166312389961626398,166312389978131103,-999.0,-999.0,21.7909,21.149,0.453238,12.0071,166312389876524158,21.0037,20.5094,20.2299,19.9635,0.0,16.5957,6,761120246,2458186.9673490003,2458218.960359,20,,,,,,,,,,,,,,,,,,,2018-06-24T06:51:16.004,0.03870000000000218
