,objectId,jd,fid,pid,diffmaglim,programid,candid,isdiffpos,tblid,nid,rcid,field,xpos,ypos,ra,decl,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,ssdistnr,ssmagnr,ssnamenr,sumrat,magapbig,sigmagapbig,ranr,decnr,sgmag1,srmag1,simag1,szmag1,sgscore1,distpsnr1,ndethist,ncovhist,jdstarthist,jdendhist,scorr,tooflag,objectidps1,objectidps2,sgmag2,srmag2,simag2,szmag2,sgscore2,distpsnr2,objectidps3,sgmag3,srmag3,simag3,szmag3,sgscore3,distpsnr3,nmtchps,rfid,jdstartref,jdendref,nframesref,rbversion,dsnrms,ssnrms,dsdiff,magzpsci,magzpsciunc,magzpscirms,nmatches,clrcoeff,clrcounc,zpclrcov,zpmed,clrmed,clrrms,neargaia,neargaiabright,maggaia,maggaiabright,obsdate,magcorr
224,ZTF18abcitzj,2458289.858669,1,535358662715,20.4983,2,535358662715015030,t,30,535,27,683,41.2545,746.375,274.6172434,32.175033500000005,18.7601,0.0844847,1.9861,18.7077,0.0572,8.2284,22.801,0.337,0.897,-0.327,0.149048,-0.052403,4.2,0.904,41.2545,1.79059,0.819109,1.255,1.162,0.29881,0.276667,1.08003,1,0,0.516667,1.0,18.7,213273,1.0,18.6452,0.0681,274.61839080000004,32.177133500000004,-999.0,-999.0,21.5363,21.3318,0.454988,7.06976,1,226,2458289.858669,2458289.858669,22.2976894378662,0,146602746154809158,146612746184003127,-999.0,21.5396,20.3021,19.6638,0.977,8.1865,146612746137154521,22.06,20.9778,20.038,19.4937,0.5865,15.7998,12,683120127,2458204.928299,2458230.903299,15,,,,,,,,,,,,,,,,,,,2018-06-20T08:36:29.002,0.06010000000000204
238,ZTF18abcjemh,2458289.8823611,1,535382362715,20.5665,2,535382362715015042,t,42,535,27,683,53.9239,727.617,274.613468,32.1790197,18.8049,0.0873409,3.33948,18.7998,0.0625,1.79467,21.851,0.139,0.856,-0.08,-0.0289711,-0.005107,3.63,0.951,53.9239,1.76669,0.883338,1.063,0.995,0.292837,0.274105,1.06834,0,0,0.576667,1.0,18.7,213273,1.0,18.8026,0.0791,274.6134419,32.1785098,22.0316,21.0214,19.7533,19.1213,0.343372,1.5425,1,227,2458289.8823611,2458289.8823611,29.0798492431641,0,146612746133274981,146612746137154521,22.06,20.9778,20.038,19.4937,0.5865,2.91878,146612746120296563,-999.0,-999.0,21.7163,20.6291,0.284321,5.18689,11,683120127,2458204.928299,2458230.903299,15,,,,,,,,,,,,,,,,,,,2018-06-20T09:10:35.999,0.10490000000000066
246,ZTF18abcjlda,2458289.9009144,1,535400912715,20.2067,2,535400912715015027,t,27,535,27,683,64.1824,713.682,274.6104613,32.1820884,18.7827,0.109246,2.30221,18.811,0.0653,12.9323,20.648,0.034,0.286,0.008,-0.403526,0.0283,5.81,0.886,64.1824,1.39574,0.738372,1.467,1.317,0.252496,0.226678,1.1139,0,0,0.46,1.0,18.7,213273,1.0,18.7219,0.0762,274.6067138,32.1838658,-999.0,-999.0,21.7163,20.6291,0.284321,9.40569,1,228,2458289.9009144,2458289.9009144,24.2178592681885,0,146612746120296563,146622746067601245,20.4045,19.4982,19.0706,18.9147,0.776435,12.9595,146612746133274981,22.0316,21.0214,19.7533,19.1213,0.343372,15.251,11,683120127,2458204.928299,2458230.903299,15,,,,,,,,,,,,,,,,,,,2018-06-20T09:37:19.004,0.08269999999999911
255,ZTF18abckecw,2458289.9449769,2,535444972715,20.2588,2,535444972715015000,t,0,535,27,683,87.7882,676.992,274.6034538,32.189404100000004,18.176,0.0644781,3.06548,18.2531,0.0484,2.75726,21.146,0.071,1.061,0.064,-0.321563,0.07706,3.35,0.984,87.7882,2.00571,0.995217,1.016,0.926,0.303284,0.276418,1.09719,0,0,0.78,1.0,18.7,213273,1.0,18.2647,0.0616,274.6032718,32.1886443,21.4263,21.0935,20.9871,20.9406,0.95025,2.81876,1,229,2458289.9449769,2458289.9449769,34.004974365234396,0,146622746032416956,146622745998146386,21.6952,20.7973,20.2673,20.1172,0.001875,12.0325,146622746055864232,-999.0,21.6002,21.0334,20.692,0.931667,12.7672,10,683120227,2458187.023368,2458222.995949,20,,,,,,,,,,,,,,,,,,,2018-06-20T10:40:46.004,-0.5240000000000009
371,ZTF18abclddz,2458290.7373495,1,536237342715,20.2337,2,536237342715015004,t,4,536,27,683,406.383,275.323,274.4898724,32.3194171,19.4702,0.1646,1.66218,19.6333,0.2083,9.37601,22.749,0.262,0.472,-0.28,-0.170412,0.163111,2.72,0.977,275.323,0.600403,0.993382,0.843,0.657,0.309926,0.241544,1.28311,4,0,0.36,1.0,18.7,213273,0.974161,19.6128,0.2619,274.49220519999994,32.3176593,18.5296,18.1574,17.9852,17.9335,0.99875,13.3419,1,229,2458290.7373495,2458290.7373495,13.8461332321167,0,146782744927747273,146782744920928757,-999.0,-999.0,21.6775,21.095,0.584077,15.7675,146782744880029673,22.0159,21.8548,21.3364,21.0934,0.946333,18.3656,9,683120127,2458204.928299,2458230.903299,15,,,,,,,,,,,,,,,,,,,2018-06-21T05:41:46.997,0.7701999999999991
385,ZTF18abcmtja,2458290.8378125,2,536337812715,20.4734,2,536337812715015002,t,2,536,27,683,466.947,232.917,274.4735709,32.3356127,18.9699,0.0810594,1.70625,19.0372,0.1004,3.35665,22.919,0.286,0.765,-0.445,0.147525,0.067348,2.45,0.983,232.917,1.43623,1.07385,0.763,0.655,0.311429,0.267347,1.16489,3,0,0.673333,1.0,18.7,213273,1.0,19.021,0.126,274.4736213,32.334669500000004,21.8341,22.2476,-999.0,-999.0,0.5,9.06957,1,230,2458290.8378125,2458290.8378125,25.955486297607397,0,146802744764142460,146802744747996659,21.947,21.1804,20.8376,20.6107,0.970625,10.5253,146802744761239619,-999.0,-999.0,21.2133,-999.0,0.234167,20.4897,11,683120227,2458187.023368,2458222.995949,20,,,,,,,,,,,,,,,,,,,2018-06-21T08:06:27.000,0.2698999999999998
402,ZTF18abcnjtt,2458290.8709954,2,536370992715,20.9342,2,536370992715015010,t,10,536,27,683,486.699,207.257,274.4681701,32.3408662,19.0242,0.0874396,5.13434,19.1366,0.0799,11.9086,21.187,0.057,0.63,-0.055,0.616923,0.112419,2.04,0.983,207.257,1.79762,1.18928,0.691,0.615,0.338725,0.301471,1.12358,5,0,0.623333,1.0,18.7,213273,0.974478,19.1188,0.0994,274.46630889999994,32.3438223,-999.0,21.2249,-999.0,19.2234,0.5,11.9362,2,232,2458290.8700694,2458290.8709954,25.8210525512695,0,146812744664292920,146812744663523217,-999.0,21.417,19.9249,19.176,0.994375,12.0114,146812744708623633,-999.0,-999.0,21.3217,20.8078,0.912375,14.1435,12,683120227,2458187.023368,2458222.995949,20,,,,,,,,,,,,,,,,,,,2018-06-21T08:54:14.003,0.32420000000000115
411,ZTF18abcodcd,2458290.8961111,2,536396112715,20.7519,2,536396112715015000,t,0,536,27,683,502.373,190.293,274.46407589999995,32.34480300000001,19.0277,0.105697,4.59323,19.128,0.0869,6.63935,20.187,0.033,0.886,0.02,0.447183,0.100287,2.07,0.983,190.293,1.62394,1.25699,0.711,0.638,0.343478,0.308213,1.11442,4,0,0.64,1.0,18.7,213273,0.982748,19.0466,0.1024,274.4619371,32.3452646,21.0594,20.2939,19.9924,19.8389,0.974125,6.68114,1,233,2458290.8961111,2458290.8961111,25.8782386779785,0,146812744619264926,146812744663523217,-999.0,21.417,19.9249,19.176,0.994375,7.74107,146812744664292920,-999.0,21.2249,-999.0,19.2234,0.5,7.7747,10,683120227,2458187.023368,2458222.995949,20,,,,,,,,,,,,,,,,,,,2018-06-21T09:30:23.999,0.3277000000000001
417,ZTF18abcolrh,2458290.9061458,1,536406142715,20.8193,2,536406142715015011,t,11,536,27,683,509.015,189.267,274.462404,32.3463456,19.5612,0.12253,2.06786,19.4748,0.1104,4.28152,21.098,0.081,1.182,-0.045,-0.0444141,-0.086352,2.45,0.965,189.267,1.34448,1.07189,0.812,0.709,0.331429,0.289388,1.14527,4,0,0.513333,1.0,18.7,213273,0.973559,19.4725,0.14,274.4619089,32.3452109,21.0594,20.2939,19.9924,19.8389,0.974125,4.24237,2,235,2458290.9052199,2458290.9061458,20.409776687622106,0,146812744619264926,146812744613062719,-999.0,-999.0,21.1882,-999.0,0.5,11.2856,146812744663523217,-999.0,21.417,19.9249,19.176,0.994375,15.0289,11,683120127,2458204.928299,2458230.903299,15,,,,,,,,,,,,,,,,,,,2018-06-21T09:44:50.997,0.8612000000000002
422,ZTF18abcoxic,2458290.9357292005,1,536435722715,20.6875,2,536435722715015003,t,3,536,27,683,524.919,158.003,274.4576761,32.350949699999994,19.5199,0.103725,1.0938,19.5874,0.1269,13.185,22.531,0.176,0.376,-0.023,-0.108317,0.067478,2.22,0.966,158.003,1.10005,1.28173,0.82,0.767,0.369369,0.345495,1.0691,0,0,0.6,1.0,18.7,213273,1.0,19.7228,0.1829,274.4535067,32.3497889,-999.0,21.7521,21.0394,20.7834,0.893167,12.5961,1,236,2458290.9357292005,2458290.9357292005,19.325208663940398,0,146822744536560616,146822744538434041,19.6227,19.3952,19.3256,19.3456,0.987,13.5009,146812744549046950,15.6148,14.8279,14.5184,14.3962,0.993393,16.8091,11,683120127,2458204.928299,2458230.903299,15,,,,,,,,,,,,,,,,,,,2018-06-21T10:27:27.003,0.8199000000000005
451,ZTF18abcnjtt,2458290.8700694,2,536370062715,20.8246,1,536370062715015000,t,0,536,27,683,486.956,208.819,274.4683219,32.3407173,18.9471,0.0726539,2.46764,18.9261,0.0708,12.5836,21.187,0.057,0.63,-0.055,0.468718,-0.020971,1.95,0.982,208.819,1.89854,1.2745,0.731,0.62,0.374872,0.317949,1.17903,1,0,0.713333,1.0,18.7,213273,1.0,18.9658,0.0928,274.46630889999994,32.3438223,-999.0,21.2249,-999.0,19.2234,0.5,12.6268,1,231,2458290.8700694,2458290.8700694,31.084417343139602,0,146812744664292920,146812744663523217,-999.0,21.417,19.9249,19.176,0.994375,12.7013,146812744708623633,-999.0,-999.0,21.3217,20.8078,0.912375,14.3298,12,683120227,2458187.023368,2458222.995949,20,,,,,,,,,,,,,,,,,,,2018-06-21T08:52:53.996,0.24709999999999965
502,ZTF18abcolrh,2458290.9052199,1,536405212715,20.8161,1,536405212715015006,t,6,536,27,683,508.124,189.964,274.4625747,32.346238899999996,19.5494,0.0996546,1.02259,19.5287,0.1113,4.16968,21.098,0.081,1.182,-0.045,0.038203,-0.020749,2.27,0.956,189.964,1.28741,1.21679,0.839,0.769,0.369604,0.338767,1.09103,1,0,0.616667,1.0,18.7,213273,1.0,19.7041,0.1657,274.46190889999997,32.3452109,21.0594,20.2939,19.9924,19.8389,0.974125,4.09988,1,234,2458290.9052199,2458290.9052199,21.0230560302734,0,146812744619264926,146812744613062719,-999.0,-999.0,21.1882,-999.0,0.5,11.1311,146812744663523217,-999.0,21.417,19.9249,19.176,0.994375,14.3831,10,683120127,2458204.928299,2458230.903299,15,,,,,,,,,,,,,,,,,,,2018-06-21T09:43:30.999,0.8493999999999993
550,ZTF18abcputg,2458291.7902662004,2,537290262415,20.459,2,537290262415015031,t,31,537,24,683,884.435,2759.47,274.3323773,32.481913,18.3439,0.0691211,15.0875,18.4423,0.0644,6.56149,21.478,0.071,0.481,0.016,0.609537,0.098411,2.0,1.0,321.029,2.01673,1.21437,0.673,0.641,0.3365,0.3205,1.04992,5,0,0.75,1.0,18.7,213273,0.978526,18.4893,0.0854,274.3309066,32.480546399999994,18.2945,21.5795,20.8666,20.4255,0.975625,6.87669,1,243,2458291.7902662004,2458291.7902662004,37.734676361084,0,146972743309297198,146972743333945447,21.8169,21.4806,21.3583,21.2321,0.857315,10.9605,146982743298701697,-999.0,-999.0,21.0797,20.7154,0.660583,11.1597,10,683120224,2458187.023368,2458222.995949,18,,,,,,,,,,,,,,,,,,,2018-06-22T06:57:59.000,-0.35609999999999786
