,objectId,jd,fid,pid,diffmaglim,programid,candid,isdiffpos,tblid,nid,rcid,field,xpos,ypos,ra,decl,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,ssdistnr,ssmagnr,ssnamenr,sumrat,magapbig,sigmagapbig,ranr,decnr,sgmag1,srmag1,simag1,szmag1,sgscore1,distpsnr1,ndethist,ncovhist,jdstarthist,jdendhist,scorr,tooflag,objectidps1,objectidps2,sgmag2,srmag2,simag2,szmag2,sgscore2,distpsnr2,objectidps3,sgmag3,srmag3,simag3,szmag3,sgscore3,distpsnr3,nmtchps,rfid,jdstartref,jdendref,nframesref,rbversion,dsnrms,ssnrms,dsdiff,magzpsci,magzpsciunc,magzpscirms,nmatches,clrcoeff,clrcounc,zpclrcov,zpmed,clrmed,clrrms,neargaia,neargaiabright,maggaia,maggaiabright,obsdate,magcorr
0,ZTF18abcdzdy,2458288.7083796,1,534208373715,20.6345,2,534208373715015030,t,30,534,37,720,864.639,2628.95,227.6286915,41.6754382,18.1919,0.0644362,6.42199,18.2717,0.0451,3.90792,22.743,0.27,0.516,-0.36,0.37345,0.079794,2.21,0.974,451.548,2.36284,1.18066,0.813,0.78,0.367873,0.352941,1.04231,1,0,0.783333,1.0,17.6,138847,1.0,18.3177,0.059,227.6298617,41.674775,-999.0,21.9499,-999.0,21.5133,0.0132083,3.59422,1,383,2458288.7083796,2458288.7083796,47.26175689697271,0,158012276299850926,158002276236137359,-999.0,20.8177,20.1411,19.8099,0.00291667,17.6711,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2,720120137,2458166.99081,2458204.960232,16,,,,,,,,,,,,,,,,,,,2018-06-19T05:00:03.997,0.591899999999999
2,ZTF18abcebdf,2458288.7261227,1,534226123715,20.6513,2,534226123715015027,t,27,534,37,720,842.044,2637.17,227.6382616,41.67311779999999,18.1005,0.0613515,2.81668,18.1065,0.0389,6.67823,20.939,0.059,0.879,0.035,0.0923312,0.006036,1.86,0.975,443.335,2.5448,1.39106,0.818,0.749,0.439785,0.402688,1.09212,2,0,0.793333,1.0,17.6,138847,1.0,18.0798,0.0475,227.6400291,41.6717813,-999.0,20.489,20.3735,20.4539,0.5,6.76051,1,384,2458288.7261227,2458288.7261227,47.8483200073242,0,158002276401006845,158002276400746459,21.4501,20.7229,20.4567,20.3907,0.0,6.81685,158012276417683141,21.7948,21.1573,21.065,20.6898,0.0116667,17.5661,4,720120137,2458166.99081,2458204.960232,16,,,,,,,,,,,,,,,,,,,2018-06-19T05:25:37.001,0.5004999999999988
5,ZTF18abceduv,2458288.7385648,2,534238563715,20.5623,2,534238563715015018,t,18,534,37,720,826.461,2650.78,227.6449491,41.6714619,17.3587,0.0459249,46.6822,17.3836,0.0237,4.18796,23.145,0.326,0.412,-0.252,-0.264369,0.024906,2.39,1.0,429.725,3.17867,1.02163,0.71,0.663,0.297071,0.277406,1.07089,2,0,0.82,1.0,17.6,138847,1.0,17.3761,0.0291,227.6437577,41.67223720000001,-999.0,20.489,20.3735,20.4539,0.5,13.5095,1,386,2458288.7385648,2458288.7385648,73.8155212402344,0,158002276401006845,158002276400746459,21.4501,20.7229,20.4567,20.3907,0.0,13.5422,158012276417683141,21.7948,21.1573,21.065,20.6898,0.0116667,22.3997,3,720120237,2458155.0562380003,2458217.953958,20,,,,,,,,,,,,,,,,,,,2018-06-19T05:43:31.999,-0.2413000000000025
12,ZTF18abcelzj,2458288.7638657,2,534263863715,20.6282,2,534263863715015032,t,32,534,37,720,792.785,2656.62,227.65858430000003,41.6680365,17.3073,0.041015,48.2975,17.3386,0.0223,11.3502,22.964,0.36,0.891,-0.683,-0.00305717,0.031294,2.16,1.0,423.88,3.28963,1.09018,0.654,0.635,0.302778,0.293981,1.02992,3,0,0.783333,1.0,17.6,138847,0.986343,17.3546,0.0279,227.65436040000003,41.6675661,22.3036,21.6841,21.225,21.172,0.0,13.2061,1,387,2458288.7638657,2458288.7638657,76.4775772094727,0,158002276542230143,158002276622209153,21.1569,20.8821,-999.0,20.67,0.5,23.3907,158002276623919451,21.3716,20.955,20.8161,20.7129,0.33025,23.4895,5,720120237,2458155.0562380003,2458217.953958,20,,,,,,,,,,,,,,,,,,,2018-06-19T06:19:57.996,-0.29269999999999996
13,ZTF18abcesob,2458288.776794,2,534276793715,20.6095,2,534276793715015018,t,18,534,37,720,772.388,2658.21,227.6655885,41.6662636,17.2596,0.0696065,59.5902,17.293,0.0217,10.1798,22.005,0.186,1.294,-0.089,0.03216,0.033352,1.67,0.984,422.29,3.31648,1.42285,0.63,0.584,0.377246,0.349701,1.07877,8,0,0.716667,1.0,17.6,138847,0.939741,17.2742,0.0263,227.6668945,41.6635731,-999.0,22.0213,20.6933,19.9752,0.991042,10.4196,1,389,2458288.776794,2458288.776794,58.5111083984375,0,157992276668256805,158002276622209153,21.1569,20.8821,-999.0,20.67,0.5,28.9569,158002276623919451,21.3716,20.955,20.8161,20.7129,0.33025,28.9953,3,720120237,2458155.0562380003,2458217.953958,20,,,,,,,,,,,,,,,,,,,2018-06-19T06:38:35.002,-0.3404000000000025
58,ZTF18abcgeqk,2458288.8501157,1,534350113715,20.693,2,534350113715015020,t,20,534,37,720,671.096,2667.31,227.7056099,41.6557579,18.2291,0.0718239,5.73954,18.2497,0.0413,10.9228,22.968,0.331,0.702,-0.229,0.00917778,0.020606,2.1,0.984,413.185,2.44329,1.27549,0.796,0.74,0.379048,0.352381,1.07568,1,0,0.773333,1.0,17.6,138847,1.0,18.2554,0.0519,227.7091733,41.6572982,-999.0,21.6358,20.9277,20.5446,0.0,15.2665,1,390,2458288.8501157,2458288.8501157,46.2754898071289,0,157982277110245909,157982276998973090,22.1194,21.0732,20.6052,20.5576,0.0,20.7372,157992276982190108,22.1265,21.5898,21.3921,21.3155,0.0,21.5081,7,720120137,2458166.99081,2458204.960232,16,,,,,,,,,,,,,,,,,,,2018-06-19T08:24:09.996,0.6290999999999976
99,ZTF18abcebdf,2458288.727037,1,534227033715,20.6901,1,534227033715015040,t,40,534,37,720,841.049,2637.8,227.63876480000002,41.6730066,18.1334,0.0533907,5.56746,18.111,0.0386,5.49799,20.939,0.059,0.879,0.035,-0.131376,-0.022392,2.1,0.981,442.698,2.57906,1.20624,0.808,0.743,0.384762,0.35381,1.08748,0,0,0.796667,1.0,17.6,138847,1.0,18.0883,0.0473,227.64002909999996,41.6717813,-999.0,20.489,20.3735,20.4539,0.5,5.60964,2,385,2458288.7261227,2458288.727037,48.3296089172363,0,158002276401006845,158002276400746459,21.4501,20.7229,20.4567,20.3907,0.0,5.67914,158012276417683141,21.7948,21.1573,21.065,20.6898,0.0116667,17.2239,4,720120137,2458166.99081,2458204.960232,16,,,,,,,,,,,,,,,,,,,2018-06-19T05:26:55.997,0.5334000000000003
133,ZTF18abcelzj,2458288.7648147997,2,534264813715,20.5569,1,534264813715015027,t,27,534,37,720,791.783,2657.36,227.6591139,41.6679107,17.277,0.0658216,49.0002,17.3116,0.0223,12.6839,22.964,0.36,0.891,-0.683,-0.158105,0.034617,1.79,0.998,423.143,3.24529,1.36697,0.673,0.633,0.375978,0.353631,1.06319,5,0,0.773333,1.0,17.6,138847,0.966304,17.3167,0.0277,227.65436040000003,41.6675661,22.3036,21.6841,21.225,21.172,0.0,14.2797,2,388,2458288.7638657,2458288.7648147997,66.9776458740234,0,158002276542230143,158002276622209153,21.1569,20.8821,-999.0,20.67,0.5,23.2428,158002276623919451,21.3716,20.955,20.8161,20.7129,0.33025,23.3383,5,720120237,2458155.0562380003,2458217.953958,20,,,,,,,,,,,,,,,,,,,2018-06-19T06:21:19.999,-0.3230000000000004
182,ZTF18abcicfn,2458289.6878588,1,535187853615,20.5135,2,535187853615015023,t,23,535,36,720,2428.12,2884.48,228.1938535,41.5421584,18.125,0.0649715,12.1988,18.2078,0.0508,9.20683,21.625,0.11,0.832,0.006,0.400146,0.082787,1.87,0.983,196.019,2.30574,1.28199,0.738,0.674,0.394652,0.360428,1.09496,6,0,0.703333,1.0,17.6,138847,0.9632,18.1893,0.0631,228.1963082,41.5439836,22.2673,21.2764,20.8045,20.5601,0.0152083,8.90859,1,304,2458289.6878588,2458289.6878588,39.8456268310547,0,157842281964869306,157852281964783386,21.5515,20.245,18.7436,18.0531,1.0,9.51136,157842281936315662,-999.0,21.5592,21.065,20.711,0.00125,16.774,9,720120136,2458166.99081,2458204.960232,16,,,,,,,,,,,,,,,,,,,2018-06-20T04:30:31.000,0.5249999999999986
184,ZTF18abcicxo,2458289.699213,1,535199213615,20.3422,2,535199213615015014,t,14,535,36,720,2413.84,2885.71,228.1998967,41.5405527,18.0732,0.0692479,8.23005,18.1156,0.0479,3.9632,22.866,0.302,0.747,-0.374,-0.00561618,0.042391,2.72,0.991,194.789,2.22656,1.00449,0.864,0.818,0.317647,0.300735,1.05623,1,0,0.74,1.0,17.6,138847,1.0,18.1411,0.0619,228.2001331,41.5394498,-999.0,-999.0,21.4912,20.9282,0.005,8.23237,1,300,2458289.699213,2458289.699213,44.4835357666016,0,157852282022790970,157842281964869306,22.2673,21.2764,20.8045,20.5601,0.0152083,9.31129,157842282016436365,20.4848,19.6325,19.2802,19.1372,0.0,9.96346,11,720120136,2458166.99081,2458204.960232,16,,,,,,,,,,,,,,,,,,,2018-06-20T04:46:52.003,0.4731999999999985
192,ZTF18abcighb,2458289.728588,2,535228583615,20.1449,2,535228583615015005,t,5,535,36,720,2376.85,2903.56,228.2156214,41.53634260000001,17.3034,0.0546465,38.7502,17.3111,0.0268,9.61879,15.209,0.022,0.971,-0.05,-0.764448,0.007745,3.52,0.983,176.935,2.83382,0.818392,1.137,1.037,0.323011,0.294602,1.09643,0,0,0.66,1.0,17.6,138847,1.0,17.2036,0.0309,228.2123074,41.53525670000001,15.7179,15.2676,15.0934,15.0375,0.99875,9.73007,1,286,2458289.728588,2458289.728588,35.772148132324205,0,157842282123862921,157842282136730123,-999.0,-999.0,21.7322,21.7208,0.5,13.453,157832282210676859,-999.0,21.4412,20.5482,20.1433,0.99875,26.5183,3,720120236,2458155.0562380003,2458217.953958,21,,,,,,,,,,,,,,,,,,,2018-06-20T05:29:10.003,-0.29660000000000153
