,objectId,jd,fid,pid,diffmaglim,programid,candid,isdiffpos,tblid,nid,rcid,field,xpos,ypos,ra,decl,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,ssdistnr,ssmagnr,ssnamenr,sumrat,magapbig,sigmagapbig,ranr,decnr,sgmag1,srmag1,simag1,szmag1,sgscore1,distpsnr1,ndethist,ncovhist,jdstarthist,jdendhist,scorr,tooflag,objectidps1,objectidps2,sgmag2,srmag2,simag2,szmag2,sgscore2,distpsnr2,objectidps3,sgmag3,srmag3,simag3,szmag3,sgscore3,distpsnr3,nmtchps,rfid,jdstartref,jdendref,nframesref,rbversion,dsnrms,ssnrms,dsdiff,magzpsci,magzpsciunc,magzpscirms,nmatches,clrcoeff,clrcounc,zpclrcov,zpmed,clrmed,clrrms,neargaia,neargaiabright,maggaia,maggaiabright,obsdate,magcorr
37,ZTF18abcfuud,2458288.8266204,2,534326620815,20.748,2,534326620815015012,t,12,534,8,726,232.054,277.341,278.24508280000003,38.508999,19.1023,0.0770856,2.71699,19.0841,0.09,10.4423,22.689,0.316,1.036,-0.302,1.34298,-0.018236,2.03,0.983,232.054,1.66395,1.18354,0.687,0.649,0.338424,0.319704,1.05855,4,0,0.71,1.0,19.1,435246,0.982741,19.0521,0.1112,278.2413938,38.5095386,-999.0,-999.0,20.9975,20.2631,0.120518,10.7313,1,215,2458288.8266204,2458288.8266204,24.271917343139602,0,154212782469944514,154212782458054945,21.5572,21.0049,20.4661,20.2686,0.0195,10.9336,154212782489592196,20.2469,19.2378,18.7054,18.5092,0.99125,11.1754,11,726120208,2458158.9903240004,2458227.005937,18,,,,,,,,,,,,,,,,,,,2018-06-19T07:50:20.003,0.0022999999999981924
44,ZTF18abcflqh,2458288.8122454,2,534312240815,20.7626,2,534312240815015013,t,13,534,8,726,225.863,303.946,278.2467631,38.5010152,19.0362,0.0811132,1.41968,18.9749,0.0808,13.061,22.287,0.172,0.666,-0.158,0.850295,-0.061336,2.0,0.981,225.863,1.78772,1.19734,0.682,0.653,0.341,0.3265,1.04441,3,0,0.663333,1.0,19.1,435246,0.991806,19.0453,0.1093,278.250512,38.5032259,-999.0,21.9614,21.5244,21.055,0.82156,12.9126,1,214,2458288.8122454,2458288.8122454,27.4813060760498,0,154202782503654461,154192782496357950,18.969,18.5078,18.3248,18.2658,0.99875,14.2524,154202782536952194,22.0884,21.198,20.2046,19.7799,0.79644,19.4818,11,726120208,2458158.9903240004,2458227.005937,18,,,,,,,,,,,,,,,,,,,2018-06-19T07:29:38.003,-0.06380000000000052
61,ZTF18abcgkrt,2458288.8648611,1,534364860815,20.9548,2,534364860815015006,t,6,534,8,726,249.541,203.477,278.24057660000005,38.5302149,19.6344,0.138203,3.16033,19.4948,0.1037,4.8994,18.296,0.012,0.491,-0.002,0.708835,-0.13963,3.12,0.978,203.477,1.46,0.849384,0.865,0.798,0.277244,0.255769,1.08396,3,0,0.563333,1.0,19.1,435246,1.0,19.4071,0.1198,278.2409702,38.5288732,18.2463,17.7367,17.5279,17.4364,1.0,5.02482,1,216,2458288.8648611,2458288.8648611,17.972345352172898,0,154232782409885281,154232782384629264,21.9457,21.3385,20.5302,20.1655,0.991417,9.30952,154232782440266956,20.8789,20.3022,20.1211,20.0279,0.916476,9.49638,18,726120108,2458204.975972,2458231.990764,17,,,,,,,,,,,,,,,,,,,2018-06-19T08:45:23.999,0.534399999999998
78,ZTF18abcgsmt,2458288.8901505,1,534390150815,20.6126,2,534390150815015001,t,1,534,8,726,262.947,157.695,278.23758230000004,38.5442244,19.5851,0.135901,2.09236,19.9117,0.1757,6.07929,21.11,0.064,0.978,-0.08,1.12041,0.326591,2.6,0.97,157.695,0.700949,1.13299,0.781,0.674,0.300385,0.259231,1.15875,4,0,0.443333,1.0,19.1,435246,0.974929,19.8959,0.2216,278.23892060000003,38.545574,21.1196,20.6557,20.5178,20.4011,0.973208,6.13631,1,208,2458288.8901505,2458288.8901505,17.9626560211182,0,154252782389625269,154252782359885554,21.86,21.8632,21.5518,-999.0,0.877583,6.98712,154252782339833146,19.3196,18.8829,18.695,18.6026,0.982917,10.2673,15,726120108,2458204.975972,2458231.990764,17,,,,,,,,,,,,,,,,,,,2018-06-19T09:21:49.003,0.4850999999999992
208,ZTF18abciona,2458289.7652199,2,535265212715,20.5369,2,535265212715015089,t,89,535,27,726,465.965,1977.5,278.1584793,39.022527,19.0399,0.109185,5.36892,19.0627,0.1041,5.00512,20.12,0.029,0.645,-0.05,0.382814,0.02282,2.22,0.982,465.965,1.47415,1.12407,0.693,0.614,0.312162,0.276577,1.12866,5,0,0.553333,1.0,19.1,435246,0.906853,18.9805,0.1229,278.1590249,39.0238693,21.4454,20.2753,19.5961,19.2524,0.980229,4.89178,1,215,2458289.7652199,2458289.7652199,24.7718334197998,0,154822781590169196,154822781616768964,-999.0,-999.0,20.9893,-999.0,0.5,9.6858,154832781570591988,-999.0,-999.0,21.0243,-999.0,0.5,13.0626,11,726120227,2458155.060741,2458227.005937,21,,,,,,,,,,,,,,,,,,,2018-06-20T06:21:54.999,-0.06010000000000204
213,ZTF18abcirvo,2458289.8309375,2,535330932715,20.3234,2,535330932715015022,t,22,535,27,726,493.388,1867.15,278.15049680000004,39.0582329,19.0554,0.109027,1.37041,18.9714,0.0958,6.63567,19.425,0.026,1.116,0.002,-0.004265,-0.083965,3.1,0.977,493.388,1.35196,0.977523,0.971,0.875,0.313226,0.282258,1.10971,1,0,0.69,1.0,19.1,435246,1.0,18.9546,0.1204,278.1508149,39.0563838,20.8133,19.5906,18.5953,18.1255,0.975583,6.76597,1,216,2458289.8309375,2458289.8309375,21.3507137298584,0,154862781508778280,154862781503257514,-999.0,20.9024,19.7498,19.2819,0.737292,8.97727,154872781512184124,20.4291,19.3069,18.0094,17.4154,0.987208,10.9201,12,726120227,2458155.060741,2458227.005937,21,,,,,,,,,,,,,,,,,,,2018-06-20T07:56:33.000,-0.04460000000000264
230,ZTF18abcizwt,2458289.8713079,1,535371302715,20.6482,2,535371302715015112,t,112,535,27,726,516.601,1784.48,278.1454925,39.0800628,19.7242,0.16802,1.44314,20.0195,0.203,12.5554,22.532,0.204,0.609,-0.189,0.237012,0.295291,3.28,0.946,516.601,0.628705,0.855247,0.896,0.823,0.273171,0.250915,1.0887,0,0,0.383333,1.0,19.1,435246,1.0,20.0642,0.2701,278.1416629,39.0819692,21.8958,21.673,21.4364,21.1099,0.877167,12.8017,1,217,2458289.8713079,2458289.8713079,14.444009780883801,0,154892781416909174,154892781424301392,20.35,19.3128,18.8232,18.5924,0.961458,18.078,154892781393884317,20.009,19.2026,18.8787,18.7156,0.987708,18.5588,7,726120127,2458203.9007180003,2458231.990764,19,,,,,,,,,,,,,,,,,,,2018-06-20T08:54:41.003,0.6241999999999983
242,ZTF18abcjfhw,2458289.8875926,1,535387592715,20.5538,2,535387592715015067,t,67,535,27,726,524.751,1757.85,278.1435582,39.088796,19.6407,0.139593,1.07355,19.6856,0.1534,11.686,21.891,0.132,0.797,-0.135,0.26079,0.044894,3.13,0.962,524.751,0.868171,0.953392,0.939,0.827,0.3,0.264217,1.13543,1,0,0.45,1.0,19.1,435246,1.0,19.7424,0.2061,278.1393305,39.088968,21.8027,20.9084,20.2221,19.8882,0.987083,11.6773,1,218,2458289.8875926,2458289.8875926,15.772263526916499,0,154902781393947319,154902781364454390,-999.0,21.865,21.7148,-999.0,0.5,21.8174,154902781515497294,19.9913,19.5165,19.3068,19.2416,0.990833,22.3064,9,726120127,2458203.9007180003,2458231.990764,19,,,,,,,,,,,,,,,,,,,2018-06-20T09:18:08.001,0.5406999999999975
256,ZTF18abckffi,2458289.9454398,2,535445432715,20.1873,2,535445432715015019,t,19,535,27,726,547.818,1637.93,278.136459,39.1196505,19.0011,0.0913607,1.0722,19.055,0.1068,10.3391,22.86,0.324,0.597,-0.131,-0.469632,0.053865,3.81,0.98,547.818,1.13227,0.864052,1.016,0.943,0.266667,0.247507,1.07741,0,0,0.616667,1.0,19.1,435246,1.0,19.0157,0.1313,278.13970750000004,39.1182005,-999.0,-999.0,21.6932,21.472,0.617905,7.87892,1,220,2458289.9454398,2458289.9454398,20.001657485961896,0,154942781336124041,154942781337289012,21.8224,21.9645,21.3261,-999.0,0.5,15.9363,154932781376718242,21.735,21.641,21.4751,20.967,0.854357,18.2033,7,726120227,2458155.060741,2458227.005937,21,,,,,,,,,,,,,,,,,,,2018-06-20T10:41:25.999,-0.09890000000000043
407,ZTF18abcoaxy,2458290.8942477,2,536394242415,20.7833,2,536394242415015051,t,51,536,24,726,794.304,2991.18,278.0437494,39.6235647,19.0737,0.0812588,2.31272,19.0669,0.0817,9.62767,17.418,0.017,0.738,-0.026,0.478562,-0.006786,2.23,0.982,89.3199,1.71637,1.14926,0.794,0.749,0.356054,0.335874,1.06008,1,0,0.706667,1.0,19.1,435246,1.0,19.0644,0.105,278.0417397,39.6213456,17.7906,17.4484,17.3087,17.2796,0.993125,9.80317,1,134,2458290.8942477,2458290.8942477,25.4133796691895,0,155542780417616214,155542780401756869,-999.0,20.8678,20.1706,19.8407,0.907321,11.6259,155542780484368484,14.6621,13.904,13.5569,13.3719,0.992917,13.0924,13,726120224,2458158.9903240004,2458227.005937,19,,,,,,,,,,,,,,,,,,,2018-06-21T09:27:43.001,-0.026300000000002655
