,objectId,jd,fid,pid,diffmaglim,programid,candid,isdiffpos,tblid,nid,rcid,field,xpos,ypos,ra,decl,magpsf,sigmapsf,chipsf,magap,sigmagap,distnr,magnr,sigmagnr,chinr,sharpnr,sky,magdiff,fwhm,classtar,mindtoedge,magfromlim,seeratio,aimage,bimage,aimagerat,bimagerat,elong,nneg,nbad,rb,ssdistnr,ssmagnr,ssnamenr,sumrat,magapbig,sigmagapbig,ranr,decnr,sgmag1,srmag1,simag1,szmag1,sgscore1,distpsnr1,ndethist,ncovhist,jdstarthist,jdendhist,scorr,tooflag,objectidps1,objectidps2,sgmag2,srmag2,simag2,szmag2,sgscore2,distpsnr2,objectidps3,sgmag3,srmag3,simag3,szmag3,sgscore3,distpsnr3,nmtchps,rfid,jdstartref,jdendref,nframesref,rbversion,dsnrms,ssnrms,dsdiff,magzpsci,magzpsciunc,magzpscirms,nmatches,clrcoeff,clrcounc,zpclrcov,zpmed,clrmed,clrrms,neargaia,neargaiabright,maggaia,maggaiabright,obsdate,magcorr
27,ZTF18abcezsd,2458288.7885995,2,534288594415,20.7292,2,534288594415015018,t,18,534,44,683,2920.69,1237.91,271.36774060000005,34.8307814,16.1085,0.0296178,117.953,16.0876,0.0079,3.9066,22.543,0.269,1.14,-0.561,0.3,-0.020935,2.29,0.984,151.806,4.64163,1.04572,0.71,0.665,0.310044,0.290393,1.06767,3,0,0.793333,1.0,16.4,76978,0.992584,16.0802,0.0091,271.36650660000004,34.8312078,-999.0,21.9417,21.9325,-999.0,0.103708,3.45102,1,226,2458288.7885995,2458288.7885995,96.1982574462891,0,149792713668818304,149792713702999716,-999.0,21.6885,21.3842,21.0455,0.688095,9.7878,149792713667794360,17.8781,16.8058,16.2524,16.0153,0.992708,9.86646,13,683120244,2458187.023368,2458218.011505,15,,,,,,,,,,,,,,,,,,,2018-06-19T06:55:34.997,-0.2914999999999992
38,ZTF18abcfvvb,2458288.8304977003,2,534330494415,20.8487,2,534330494415015036,t,36,534,44,683,2943.73,1278.57,271.3613863,34.8215665,16.0952,0.0324706,273.395,16.0954,0.0076,16.1736,20.455,0.042,0.87,-0.028,0.305083,0.000212,2.28,0.992,128.769,4.7533,1.03867,0.699,0.662,0.306579,0.290351,1.05589,2,0,0.696667,1.0,16.4,76978,0.989632,16.0863,0.0086,271.35918530000004,34.82574210000001,-999.0,-999.0,21.7205,20.7527,0.14806,12.9754,1,227,2458288.8304977003,2458288.8304977003,127.637802124023,0,149782713572457979,149792713591961526,21.7591,20.5864,19.289,18.7094,0.987688,16.376,149782713557305052,22.1706,21.5322,20.5577,20.0722,0.961333,17.1992,9,683120244,2458187.023368,2458218.011505,15,,,,,,,,,,,,,,,,,,,2018-06-19T07:55:55.001,-0.3048000000000002
64,ZTF18abcglqp,2458288.870463,1,534370464415,20.8689,2,534370464415015032,t,32,534,44,683,2967.36,1305.74,271.3553144,34.8126428,16.7526,0.0444668,84.0412,16.7607,0.0108,13.4758,19.376,0.015,0.39,0.002,0.0671439,0.008106,2.49,0.983,105.138,4.10819,1.14186,0.919,0.842,0.369076,0.338153,1.09145,0,0,0.713333,1.0,16.4,76978,1.0,16.7333,0.0123,271.358915,34.815012200000005,-999.0,21.9195,21.017,20.46,0.936202,11.3086,1,228,2458288.870463,2458288.870463,126.81266784667999,0,149772713573492616,149772713589518595,19.3148,18.1054,17.3708,17.0417,0.994167,13.6513,149782713580431373,-999.0,-999.0,21.6005,-999.0,0.436643,18.7128,10,683120144,2458204.928299,2458229.997292,16,,,,,,,,,,,,,,,,,,,2018-06-19T08:53:28.003,0.35260000000000247
76,ZTF18abcgrgc,2458288.8830208,1,534383024415,20.8121,2,534383024415015030,t,30,534,44,683,2976.16,1319.04,271.3534171,34.8098068,16.7615,0.0425559,19.0101,16.7809,0.0112,9.05679,22.338,0.165,0.47,-0.064,0.080282,0.019362,2.46,0.983,96.3409,4.03119,1.17459,0.913,0.824,0.371138,0.334959,1.10801,0,0,0.716667,1.0,16.4,76978,1.0,16.7734,0.013,271.3525182,34.8073725,21.9831,21.2418,20.1558,19.7138,0.946,10.0891,1,229,2458288.8830208,2458288.8830208,87.97467041015621,0,149762713526889118,149772713573492616,-999.0,21.9195,21.017,20.46,0.936202,11.5463,149772713483841115,21.4554,20.2411,19.5478,19.2497,0.983417,15.4062,9,683120144,2458204.928299,2458229.997292,16,,,,,,,,,,,,,,,,,,,2018-06-19T09:11:32.997,0.36150000000000304
81,ZTF18abcgxed,2458288.9001389,1,534400134415,20.6255,2,534400134415015040,t,40,534,44,683,2983.74,1328.01,271.35083050000003,34.8059172,16.7561,0.0411516,19.6734,16.7813,0.0116,7.13381,22.338,0.165,0.47,-0.064,-0.25058,0.025249,3.43,0.982,88.7574,3.84425,0.944556,1.124,1.047,0.327697,0.305248,1.07354,0,0,0.68,1.0,16.4,76978,1.0,16.7525,0.0132,271.3525182,34.8073725,21.9831,21.2418,20.1558,19.7138,0.946,6.89283,1,230,2458288.9001389,2458288.9001389,71.7312393188477,0,149762713526889118,149772713483841115,21.4554,20.2411,19.5478,19.2497,0.983417,12.4384,149752713517679985,21.7986,20.7478,20.2015,19.9579,0.963958,23.9091,6,683120144,2458204.928299,2458229.997292,16,,,,,,,,,,,,,,,,,,,2018-06-19T09:36:12.001,0.3561000000000014
199,ZTF18abcijoe,2458289.7440393995,2,535244033215,20.4777,2,535244033215015015,t,15,535,32,682,121.188,1643.52,271.2440292,34.6121224,16.1379,0.0351755,239.466,16.1288,0.0093,5.65481,22.85,0.272,0.565,0.198,0.396065,-0.009121,2.31,0.984,121.188,4.34891,1.07588,0.733,0.709,0.317316,0.306926,1.03385,0,0,0.833333,1.0,16.4,76978,1.0,16.1277,0.0109,271.2428253,34.6133639,-999.0,-999.0,21.4795,20.5381,0.906854,3.14993,1,269,2458289.7440393995,2458289.7440393995,82.826904296875,0,149532712451285432,149532712429113761,-999.0,-999.0,21.4806,20.4106,0.69878,5.72337,149532712430668557,-999.0,-999.0,21.7079,21.409,0.523696,10.6462,18,682120232,2458158.990822,2458218.01103,17,,,,,,,,,,,,,,,,,,,2018-06-20T05:51:25.004,-0.2621000000000002
214,ZTF18abcioqb,2458289.7666088,2,535266603215,20.4903,2,535266603215015017,t,17,535,32,682,131.713,1666.98,271.2406339,34.6069026,16.096,0.0271294,81.9966,16.1042,0.009,1.46965,22.131,0.195,1.132,-0.261,0.232694,0.008216,2.25,0.985,131.713,4.38614,1.1225,0.762,0.733,0.338667,0.325778,1.03956,0,0,0.866667,1.0,16.4,76978,1.0,16.0991,0.0105,271.240396,34.6065378,-999.0,-999.0,21.288,20.6392,0.0,1.44034,1,270,2458289.7666088,2458289.7666088,95.1124038696289,0,149522712402128526,149532712391011568,-999.0,22.0641,21.1578,20.5312,0.951083,9.307,149532712368371801,21.1683,20.3422,19.9358,19.6932,0.997917,14.2957,15,682120232,2458158.990822,2458218.01103,17,,,,,,,,,,,,,,,,,,,2018-06-20T06:23:55.000,-0.3039999999999985
215,ZTF18abcioqb,2458289.7661458,2,535266144515,20.485,2,535266144515015015,t,15,535,45,683,241.341,1818.88,271.2407122,34.6070143,16.0524,0.0346191,149.651,16.0728,0.0088,1.80849,22.215,0.15,0.508,-0.135,0.378447,0.020429,2.11,0.985,241.341,4.41216,1.17182,0.734,0.68,0.347867,0.322275,1.07941,0,0,0.823333,1.0,16.4,76978,1.0,16.0771,0.0104,271.2402084,34.6067204,-999.0,-999.0,21.288,20.6392,0.0,1.87838,1,232,2458289.7661458,2458289.7661458,106.95532989502001,0,149522712402128526,149532712391011568,-999.0,22.0641,21.1578,20.5312,0.951083,9.08565,149532712368371801,21.1683,20.3422,19.9358,19.6932,0.997917,14.2429,15,683120245,2458187.023368,2458218.011505,15,,,,,,,,,,,,,,,,,,,2018-06-20T06:23:14.997,-0.3475999999999999
220,ZTF18abciqhb,2458289.8282407,2,535328244515,20.6127,2,535328244515015016,t,16,535,45,683,277.888,1883.92,271.2312699,34.592427,16.0786,0.0327778,82.9033,16.0977,0.0084,7.08064,21.768,0.13,0.992,0.001,-0.266164,0.019081,2.98,0.983,277.888,4.51504,0.826277,0.93,0.787,0.312081,0.264094,1.1817,2,0,0.74,1.0,16.4,76978,0.996995,16.0761,0.0096,271.23042960000004,34.594293,21.6544,21.7322,21.2576,20.8499,0.00125,7.12821,1,233,2458289.8282407,2458289.8282407,43.4213676452637,0,149512712304683722,149512712272941985,21.5658,20.1819,19.7782,19.55,0.810342,11.8537,149512712261461624,17.2743,16.78,16.5728,16.5149,0.996875,15.1566,14,683120245,2458187.023368,2458218.011505,15,,,,,,,,,,,,,,,,,,,2018-06-20T07:52:39.996,-0.321399999999997
222,ZTF18abcitwk,2458289.858669,1,535358664515,20.8213,2,535358664515015047,t,47,535,45,683,298.783,1908.92,271.2266105,34.5851865,16.7639,0.0383666,34.3459,16.7527,0.0113,15.1746,21.713,0.104,0.648,-0.044,-0.214839,-0.011211,3.06,0.976,298.783,4.06862,0.9019,1.042,0.91,0.340523,0.297386,1.14505,0,0,0.683333,1.0,16.4,76978,1.0,16.7318,0.0129,271.225334,34.5810475,21.617,20.3847,19.5616,19.1289,0.987292,15.3277,1,234,2458289.858669,2458289.858669,62.9337310791016,0,149492712253317916,149492712213367443,18.4955,17.8856,17.6395,17.5562,0.999167,22.547,149502712338095824,18.1904,17.7483,17.5434,17.4374,0.650152,23.0752,8,683120145,2458204.928299,2458229.997292,15,,,,,,,,,,,,,,,,,,,2018-06-20T08:36:29.002,0.363900000000001
225,ZTF18abcitwk,2458289.8591319,1,535359133215,20.8301,2,535359133215015032,t,32,535,32,682,180.653,1756.93,271.226527,34.5850723,16.737,0.0456748,69.7239,16.7827,0.0116,11.9744,22.691,0.299,0.736,-0.285,-0.106258,0.04574,3.2,0.976,180.653,4.04742,0.861727,0.987,0.862,0.308437,0.269375,1.14501,0,0,0.706667,1.0,16.4,76978,1.0,16.7578,0.0133,271.2294994,34.582759,21.617,20.3847,19.5616,19.1289,0.987292,14.868,1,271,2458289.8591319,2458289.8591319,93.29769897460942,0,149492712253317916,149492712213367443,18.4955,17.8856,17.6395,17.5562,0.999167,22.0795,149502712338095824,18.1904,17.7483,17.5434,17.4374,0.650152,23.4641,8,682120132,2458203.900232,2458229.984479,15,,,,,,,,,,,,,,,,,,,2018-06-20T08:37:08.996,0.33699999999999974
235,ZTF18abcjdgn,2458289.8823611,1,535382364515,20.7424,2,535382364515015060,t,60,535,45,683,311.234,1924.92,271.2229891,34.579496500000005,16.7437,0.041653,38.9553,16.7599,0.0116,6.49497,18.554,0.013,0.441,-0.014,-0.00887388,0.016222,2.91,0.983,311.234,3.98245,1.01156,0.996,0.874,0.342268,0.300344,1.13959,0,0,0.7,1.0,16.4,76978,1.0,16.7466,0.0134,271.2213197,34.5807005,18.4955,17.8856,17.6395,17.5562,0.999167,6.49662,1,235,2458289.8823611,2458289.8823611,89.1173782348633,0,149492712213367443,149492712226163200,22.0388,21.8007,21.5365,21.0834,0.742583,8.36749,149492712205304452,21.1522,20.3469,19.9245,19.7748,0.966083,8.74319,8,683120145,2458204.928299,2458229.997292,15,,,,,,,,,,,,,,,,,,,2018-06-20T09:10:35.999,0.3437000000000019
